Phoenix,Cleveland,time_rem
47-18,21-44,48M 0S
0,0,47M 44S
2,0,47M 20S
2,2,46M 19S
4,2,46M 8S
4,4,45M 55S
7,4,45M 35S
7,7,45M 8S
9,7,44M 56S
9,9,43M 11S
10,9,42M 50S
11,9,42M 50S
11,12,42M 34S
11,13,42M 2S
11,14,42M 2S
13,14,41M 46S
15,14,41M 21S
17,14,40M 16S
17,17,39M 58S
19,17,39M 23S
19,20,39M 5S
21,20,38M 13S
23,20,37M 45S
23,22,37M 34S
23,24,37M 16S
26,24,37M 1S
27,24,36M 35S
30,24,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,27,35M 18S
31,27,35M 5S
32,27,35M 5S
34,27,34M 38S
35,27,34M 38S
35,30,34M 27S
35,32,34M 4S
36,32,33M 51S
37,32,33M 51S
37,34,33M 19S
37,35,33M 19S
39,35,33M 6S
39,37,32M 2S
41,37,30M 45S
41,39,30M 27S
43,39,30M 10S
43,40,29M 40S
43,41,29M 40S
43,44,29M 18S
43,46,28M 52S
43,47,28M 24S
45,47,28M 3S
47,47,27M 24S
49,47,26M 58S
49,48,26M 34S
49,49,26M 34S
51,49,26M 20S
51,51,26M 3S
53,51,24M 54S
56,51,24M 30S
57,51,24M 30S
57,53,24M 12S
59,53,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,56,23M 30S
61,56,22M 56S
61,59,22M 43S
61,61,21M 23S
61,62,20M 55S
61,63,20M 55S
63,63,20M 48S
64,63,20M 48S
65,63,20M 33S
65,64,20M 33S
65,65,20M 33S
68,65,20M 22S
70,65,19M 46S
70,68,19M 19S
72,68,19M 10S
75,68,18M 42S
75,70,18M 24S
77,70,18M 11S
78,70,18M 11S
80,70,17M 48S
82,70,17M 9S
82,72,16M 56S
82,73,16M 38S
84,73,16M 23S
84,76,16M 1S
84,78,15M 26S
86,78,14M 37S
86,79,13M 44S
86,80,13M 44S
86,81,13M 9S
86,83,13M 5S
88,83,12M 37S
88,85,12M 28S
88,86,12M 28S
88,88,12M 7S
90,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,90,11M 41S
92,90,11M 22S
94,90,10M 26S
94,92,10M 0S
96,92,9M 44S
96,94,9M 21S
98,94,8M 14S
98,95,7M 29S
98,96,7M 29S
100,96,6M 48S
103,96,6M 15S
103,98,5M 52S
105,98,5M 37S
105,100,5M 11S
105,101,5M 11S
105,104,4M 22S
108,104,4M 1S
108,106,3M 45S
110,106,3M 15S
110,109,2M 45S
112,109,2M 25S
112,111,59S
112,112,59S
114,112,35S
114,114,24S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Ayton vs. J. Allen (C. Osman gains possession),NA,5M 0S
116,114,4M 36S
119,114,4M 0S
121,114,3M 42S
123,114,3M 11S
126,114,2M 19S
129,114,1M 46S
129,116,1M 35S
131,116,1M 2S
131,117,53S
131,118,53S
134,118,42S
End of 1st overtime,NA,0S
