Washington,Cleveland,time_rem
29-34,21-42,48M 0S
0,2,47M 41S
2,2,46M 24S
2,4,46M 11S
4,4,45M 43S
4,5,45M 20S
7,5,45M 12S
8,5,44M 40S
9,5,44M 40S
9,7,44M 16S
9,8,44M 3S
9,9,44M 3S
11,9,43M 53S
11,10,43M 43S
11,11,43M 43S
11,13,43M 22S
13,13,43M 8S
13,15,42M 43S
16,15,42M 29S
16,17,42M 10S
16,18,41M 52S
16,19,41M 52S
18,19,41M 21S
18,20,41M 20S
18,22,40M 44S
20,22,40M 25S
20,23,40M 11S
22,23,39M 53S
22,25,39M 42S
24,25,39M 31S
25,25,39M 16S
26,25,39M 16S
26,27,39M 1S
26,30,38M 42S
28,30,37M 45S
30,30,37M 14S
32,30,36M 47S
34,30,36M 30S
35,30,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,32,35M 4S
36,32,34M 51S
36,34,34M 26S
37,34,34M 22S
38,34,33M 57S
41,34,33M 18S
41,36,33M 4S
41,38,32M 44S
41,40,32M 15S
41,43,31M 27S
42,43,31M 19S
43,43,31M 19S
Jump ball: K. Love vs. R. Lopez (D. Garland gains possession),NA,30M 13S
43,45,30M 3S
44,45,29M 51S
45,45,29M 51S
46,45,29M 51S
46,47,29M 28S
48,47,29M 14S
50,47,28M 48S
50,48,27M 59S
52,48,27M 0S
54,48,26M 36S
56,48,25M 53S
56,51,25M 32S
58,51,24M 36S
58,52,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,52,22M 12S
62,52,22M 12S
62,54,21M 48S
62,56,21M 7S
63,56,20M 3S
64,56,20M 3S
64,59,19M 40S
66,59,19M 26S
68,59,18M 48S
68,62,18M 29S
68,63,18M 3S
68,64,18M 3S
70,64,17M 27S
73,64,17M 3S
73,65,16M 42S
73,66,16M 42S
75,66,16M 23S
77,66,15M 35S
79,66,14M 46S
81,66,14M 17S
84,66,14M 8S
85,66,13M 41S
85,68,13M 11S
87,68,12M 54S
89,68,12M 41S
90,68,12M 11S
91,68,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,70,11M 24S
93,70,11M 3S
93,71,10M 49S
93,72,10M 49S
95,72,10M 41S
95,74,10M 35S
97,74,10M 25S
99,74,9M 48S
101,74,9M 16S
103,74,9M 0S
103,76,8M 6S
106,76,7M 47S
106,78,6M 59S
106,80,6M 22S
108,80,6M 1S
108,81,5M 42S
110,81,5M 5S
111,81,4M 39S
112,81,4M 39S
114,81,3M 51S
Jump ball: A. Gill vs. M. Kabengele (I. Bonga gains possession),NA,3M 26S
114,84,3M 13S
117,84,2M 59S
117,86,2M 48S
117,88,2M 26S
119,88,2M 10S
120,88,2M 10S
120,90,1M 5S
122,90,43S
122,93,27S
End of 4th quarter,NA,0S
