Memphis,Portland,time_rem
31-28,32-28,48M 0S
2,0,47M 51S
4,0,47M 2S
4,2,46M 40S
6,2,46M 21S
7,2,45M 59S
8,2,45M 59S
10,2,45M 43S
10,5,45M 27S
10,7,45M 1S
12,7,44M 49S
12,9,44M 33S
13,9,44M 23S
16,9,43M 10S
16,12,42M 58S
16,14,40M 48S
16,17,40M 20S
16,18,39M 34S
16,20,38M 41S
18,20,38M 21S
19,20,38M 3S
20,20,38M 3S
23,20,37M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,20,35M 23S
26,23,34M 59S
28,23,34M 45S
28,24,34M 37S
28,25,34M 6S
28,26,34M 6S
Jump ball: J. Winslow vs. C. Anthony (B. Clarke gains possession),NA,33M 22S
28,28,33M 3S
31,28,32M 41S
33,28,32M 8S
33,30,31M 53S
36,30,31M 38S
38,30,31M 20S
38,33,31M 7S
40,33,30M 55S
40,36,30M 37S
42,36,30M 18S
44,36,29M 57S
44,37,29M 37S
44,38,29M 37S
47,38,28M 58S
48,38,28M 25S
48,40,28M 11S
51,40,27M 18S
53,40,26M 15S
53,41,26M 4S
53,42,26M 4S
53,43,25M 44S
53,44,25M 44S
55,44,25M 30S
56,44,24M 47S
58,44,24M 31S
58,47,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,49,23M 36S
60,49,23M 14S
60,51,22M 58S
62,51,22M 45S
62,53,22M 25S
64,53,22M 20S
66,53,21M 44S
68,53,21M 33S
68,55,20M 55S
71,55,20M 38S
71,58,20M 25S
74,58,19M 42S
74,60,19M 24S
76,60,19M 0S
76,62,18M 52S
76,64,18M 24S
76,65,17M 58S
76,66,17M 58S
76,68,17M 40S
78,68,17M 29S
78,70,17M 6S
79,70,15M 59S
80,70,15M 59S
82,70,15M 48S
83,70,15M 33S
83,71,15M 18S
83,73,14M 53S
83,74,14M 53S
84,74,14M 9S
85,74,14M 9S
85,76,13M 11S
87,76,12M 33S
87,77,12M 27S
87,78,12M 27S
90,78,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,78,11M 47S
92,81,11M 25S
94,81,11M 16S
94,84,10M 48S
94,85,10M 25S
94,86,10M 25S
94,89,10M 5S
94,92,9M 32S
96,92,9M 14S
98,92,7M 49S
99,92,7M 11S
100,92,7M 11S
101,92,7M 11S
104,92,6M 35S
104,94,5M 56S
105,94,5M 43S
106,94,5M 43S
106,96,5M 6S
109,96,4M 49S
111,96,4M 2S
111,98,3M 51S
111,99,3M 51S
111,100,3M 20S
111,103,3M 14S
113,103,2M 45S
113,106,1M 42S
114,106,1M 27S
114,108,1M 19S
114,110,58S
114,111,58S
115,111,34S
116,111,34S
116,113,25S
117,113,23S
118,113,23S
119,113,8S
120,113,8S
End of 4th quarter,NA,0S
