New Orleans,San Antonio,time_rem
14-19,17-12,48M 0S
0,0,47M 37S
2,0,47M 12S
2,2,46M 37S
5,2,46M 22S
5,4,46M 9S
7,4,45M 54S
7,7,45M 34S
9,7,45M 15S
9,9,44M 29S
12,9,44M 14S
14,9,43M 47S
15,9,43M 47S
17,9,42M 57S
17,12,42M 12S
17,14,41M 56S
19,14,41M 33S
21,14,41M 6S
21,17,40M 33S
21,19,40M 6S
23,19,39M 30S
23,20,39M 15S
23,21,39M 15S
25,21,38M 53S
25,24,38M 40S
28,24,38M 24S
28,25,38M 8S
28,26,38M 8S
30,26,37M 54S
30,28,37M 16S
30,30,36M 53S
30,33,36M 21S
31,33,36M 4S
32,33,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,33,35M 33S
34,33,35M 33S
34,36,33M 56S
34,38,33M 35S
34,39,33M 35S
36,39,33M 18S
38,39,32M 49S
38,42,32M 34S
41,42,32M 18S
41,45,31M 56S
43,45,31M 24S
43,47,31M 6S
45,47,30M 58S
45,50,30M 38S
47,50,30M 6S
47,52,29M 48S
47,53,29M 48S
49,53,28M 16S
49,55,28M 0S
51,55,27M 52S
52,55,27M 52S
52,58,27M 30S
53,58,27M 6S
54,58,27M 6S
54,59,26M 46S
54,61,26M 28S
56,61,26M 5S
58,61,25M 35S
58,63,25M 9S
58,65,24M 37S
58,66,24M 24S
58,67,24M 24S
60,67,24M 3S
61,67,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,69,23M 38S
63,69,23M 30S
63,71,23M 10S
66,71,22M 45S
68,71,22M 10S
70,71,21M 30S
70,74,20M 56S
72,74,20M 30S
72,75,20M 9S
72,76,20M 9S
72,78,19M 43S
72,80,18M 59S
75,80,17M 52S
75,82,17M 27S
75,84,16M 45S
77,84,16M 25S
77,86,16M 7S
78,86,15M 8S
79,86,15M 8S
79,88,14M 53S
79,91,13M 48S
80,91,13M 24S
81,91,13M 24S
81,92,13M 6S
81,93,13M 6S
83,93,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,93,11M 35S
85,95,11M 10S
88,95,9M 40S
89,95,9M 7S
90,95,9M 7S
90,97,8M 54S
92,97,8M 34S
93,97,7M 52S
93,99,7M 38S
93,100,7M 20S
93,101,7M 20S
96,101,7M 0S
96,103,6M 44S
97,103,6M 36S
98,103,6M 36S
100,103,6M 13S
100,104,5M 58S
100,105,5M 58S
100,106,5M 28S
100,107,5M 28S
101,107,5M 21S
103,107,4M 48S
103,109,4M 34S
103,110,4M 34S
104,110,3M 51S
105,110,3M 19S
106,110,3M 19S
107,110,2M 52S
107,111,2M 40S
107,112,2M 40S
108,112,2M 22S
109,112,2M 22S
109,114,2M 11S
Jump ball: J. Hart vs. D. Murray (B. Ingram gains possession),NA,1M 36S
111,114,57S
111,115,26S
111,117,11S
114,117,0S
End of 4th quarter,NA,0S
