Washington,Phoenix,time_rem
19-33,37-15,48M 0S
0,0,47M 43S
0,2,47M 24S
2,2,46M 35S
2,4,46M 19S
2,6,45M 38S
2,8,44M 56S
2,10,44M 24S
4,10,44M 12S
6,10,43M 44S
8,10,43M 12S
10,10,42M 52S
10,12,42M 40S
11,12,42M 9S
12,12,42M 9S
12,14,41M 10S
15,14,40M 56S
17,14,40M 34S
18,14,40M 4S
18,16,39M 45S
20,16,38M 37S
20,18,38M 29S
20,20,37M 53S
22,20,37M 42S
22,22,37M 32S
24,22,37M 15S
24,25,36M 51S
27,25,36M 36S
27,27,36M 22S
29,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,29,35M 34S
31,29,34M 55S
31,32,34M 41S
33,32,34M 22S
35,32,33M 41S
37,32,33M 20S
37,34,33M 8S
37,37,32M 38S
39,37,31M 28S
39,39,31M 5S
41,39,30M 12S
41,41,29M 33S
42,41,29M 19S
42,44,29M 5S
42,46,28M 45S
44,46,28M 23S
46,46,27M 55S
49,46,27M 32S
49,48,27M 19S
49,50,26M 25S
49,52,26M 4S
52,52,25M 50S
53,52,25M 35S
54,52,25M 35S
54,54,25M 11S
55,54,24M 7S
55,57,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,59,23M 46S
55,62,23M 20S
57,62,22M 58S
57,64,22M 40S
58,64,22M 23S
58,66,22M 12S
58,68,21M 36S
58,70,21M 12S
59,70,21M 4S
59,71,20M 56S
59,72,20M 56S
59,75,20M 37S
59,78,20M 17S
60,78,20M 2S
61,78,20M 2S
63,78,19M 46S
63,81,19M 27S
64,81,18M 53S
64,83,18M 30S
64,85,18M 10S
66,85,17M 15S
66,87,17M 1S
67,87,16M 47S
67,89,16M 14S
70,89,15M 56S
70,91,15M 30S
72,91,15M 15S
72,93,14M 57S
72,96,14M 12S
74,96,13M 53S
76,96,13M 27S
76,98,13M 12S
76,101,12M 7S
79,101,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,104,11M 46S
82,104,11M 28S
82,106,10M 48S
83,106,10M 38S
84,106,10M 38S
87,106,10M 8S
87,107,9M 56S
87,108,9M 56S
88,108,9M 46S
90,108,9M 26S
90,109,8M 47S
90,111,8M 10S
90,113,7M 31S
90,116,6M 47S
91,116,6M 29S
93,116,6M 2S
93,119,5M 43S
95,119,5M 29S
95,121,5M 16S
95,123,4M 53S
97,123,4M 16S
97,126,3M 49S
97,129,3M 7S
99,129,2M 40S
99,130,2M 29S
99,131,2M 29S
101,131,1M 42S
102,131,1M 42S
103,131,1M 17S
103,134,1M 5S
106,134,44S
End of 4th quarter,NA,0S
