Charlotte,Boston,time_rem
25-24,25-25,48M 0S
0,0,47M 35S
3,0,47M 0S
3,3,46M 44S
6,3,46M 27S
6,5,45M 55S
9,5,45M 48S
9,7,44M 51S
11,7,43M 57S
13,7,43M 25S
16,7,42M 52S
16,8,42M 33S
16,9,42M 33S
18,9,42M 13S
18,12,41M 46S
18,15,41M 3S
20,15,40M 10S
20,17,39M 1S
20,20,38M 28S
21,20,37M 39S
22,20,37M 39S
22,23,37M 28S
24,23,37M 6S
24,25,36M 52S
Jump ball: C. Zeller vs. E. Fournier (T. Rozier gains possession),NA,36M 22S
26,25,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,28,35M 11S
26,30,34M 10S
28,30,33M 53S
28,32,33M 30S
28,34,32M 56S
28,35,32M 31S
28,37,31M 59S
30,37,31M 37S
30,40,30M 34S
30,41,30M 34S
30,44,30M 3S
32,44,29M 27S
33,44,29M 27S
35,44,29M 9S
35,47,28M 17S
37,47,27M 20S
39,47,26M 47S
39,49,26M 33S
41,49,25M 23S
41,51,25M 13S
41,53,24M 51S
42,53,24M 39S
42,55,24M 32S
43,55,24M 7S
43,58,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,58,23M 1S
45,61,22M 39S
45,64,22M 2S
48,64,21M 37S
48,66,20M 42S
50,66,20M 26S
50,69,20M 17S
53,69,19M 40S
53,71,19M 10S
53,73,18M 38S
56,73,18M 24S
56,76,18M 11S
56,78,17M 35S
58,78,17M 20S
58,81,16M 25S
60,81,16M 6S
63,81,15M 6S
63,84,14M 45S
63,85,14M 24S
63,86,14M 24S
64,86,14M 5S
64,88,13M 53S
66,88,13M 41S
67,88,13M 41S
67,91,13M 34S
67,92,13M 18S
67,93,13M 18S
68,93,13M 9S
70,93,12M 47S
70,95,12M 28S
70,98,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,98,11M 26S
71,100,9M 50S
74,100,9M 30S
74,103,9M 10S
75,103,8M 54S
76,103,8M 54S
77,103,8M 54S
77,106,7M 54S
79,106,7M 38S
79,109,7M 11S
81,109,6M 53S
81,110,4M 57S
84,110,4M 42S
84,112,4M 32S
86,112,4M 20S
86,114,3M 44S
86,116,34S
End of 4th quarter,NA,0S
