Chicago,Denver,time_rem
18-22,25-16,48M 0S
0,0,47M 39S
0,3,47M 21S
3,3,46M 59S
3,5,46M 43S
3,7,45M 54S
6,7,44M 52S
9,7,44M 21S
11,7,43M 44S
14,7,43M 23S
14,9,42M 58S
14,11,42M 11S
16,11,41M 53S
16,13,41M 29S
19,13,41M 10S
21,13,40M 31S
24,13,39M 57S
24,16,39M 37S
26,16,38M 44S
28,16,38M 18S
28,17,37M 39S
28,18,37M 39S
28,20,37M 12S
30,20,36M 48S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,20,35M 26S
33,23,34M 12S
35,23,33M 45S
37,23,33M 29S
38,23,33M 29S
38,26,32M 53S
38,28,31M 41S
40,28,31M 18S
40,30,30M 56S
40,31,30M 34S
40,32,30M 34S
42,32,30M 20S
42,35,30M 7S
42,37,29M 25S
43,37,29M 14S
44,37,29M 14S
46,37,28M 46S
46,39,28M 26S
46,40,27M 49S
46,41,27M 49S
47,41,27M 1S
48,41,27M 1S
48,43,26M 31S
50,43,25M 38S
53,43,24M 58S
53,45,24M 41S
55,45,24M 33S
55,47,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,47,23M 40S
57,48,23M 22S
57,49,23M 22S
58,49,23M 7S
61,49,22M 20S
61,51,21M 54S
61,54,21M 36S
64,54,21M 28S
64,55,21M 8S
66,55,20M 45S
66,58,20M 1S
66,59,19M 23S
66,60,19M 23S
69,60,18M 47S
72,60,18M 16S
72,63,17M 59S
74,63,17M 37S
74,65,17M 25S
75,65,17M 9S
75,66,16M 57S
75,67,16M 57S
78,67,16M 44S
78,69,16M 21S
80,69,16M 13S
80,70,16M 1S
80,71,16M 1S
81,71,15M 53S
83,71,15M 28S
84,71,15M 28S
84,73,15M 9S
84,75,14M 37S
86,75,14M 23S
86,76,14M 9S
86,77,14M 9S
86,79,13M 0S
89,79,12M 48S
89,81,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,84,11M 14S
91,84,10M 59S
91,87,10M 39S
94,87,10M 20S
96,87,9M 49S
98,87,9M 26S
100,87,8M 41S
100,89,8M 28S
103,89,8M 5S
103,90,7M 27S
103,91,7M 27S
103,93,7M 21S
103,95,6M 42S
103,97,6M 6S
105,97,5M 44S
105,99,4M 53S
107,99,4M 41S
107,101,4M 25S
107,103,3M 53S
107,105,3M 15S
107,108,2M 51S
110,108,1M 56S
112,108,1M 14S
114,108,45S
114,111,37S
114,113,18S
115,113,16S
116,113,16S
116,116,0S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: T. Young vs. N. Jokić (J. Murray gains possession),NA,5M 0S
116,119,4M 40S
116,121,3M 47S
116,123,3M 9S
116,125,2M 35S
118,125,2M 31S
120,125,1M 58S
122,125,1M 29S
123,125,1M 13S
123,126,1M 13S
123,127,1M 13S
124,127,1M 0S
125,127,1M 0S
125,129,37S
126,129,30S
127,129,30S
127,131,10S
End of 1st overtime,NA,0S
