Toronto,Denver,time_rem
26-37,42-21,48M 0S
0,0,47M 40S
2,0,47M 32S
2,2,47M 14S
5,2,46M 56S
5,5,46M 19S
5,7,45M 50S
5,9,45M 35S
6,9,45M 26S
6,11,44M 55S
9,11,44M 43S
11,11,44M 23S
13,11,43M 44S
13,13,43M 6S
14,13,42M 49S
14,15,42M 29S
17,15,42M 21S
17,17,40M 51S
19,17,40M 33S
22,17,40M 7S
22,20,39M 38S
24,20,39M 25S
24,21,39M 15S
26,21,38M 54S
26,24,38M 26S
26,25,38M 26S
29,25,37M 42S
29,27,37M 14S
31,27,36M 35S
31,30,36M 26S
33,30,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,30,35M 26S
35,32,35M 11S
35,34,34M 32S
35,36,34M 9S
37,36,33M 53S
38,36,33M 19S
39,36,33M 19S
39,38,33M 1S
Jump ball: P. Dozier vs. O. Anunoby (P. Millsap gains possession),NA,32M 26S
Jump ball: O. Anunoby vs. P. Millsap (F. Gillespie gains possession),NA,32M 13S
39,40,31M 24S
39,41,30M 29S
39,42,30M 29S
41,42,30M 11S
44,42,29M 41S
44,45,29M 25S
44,46,29M 8S
44,47,29M 8S
44,48,28M 36S
44,50,28M 4S
46,50,27M 54S
49,50,27M 23S
50,50,26M 42S
50,51,26M 21S
50,52,26M 21S
50,53,26M 21S
51,53,26M 12S
52,53,26M 12S
52,54,26M 1S
52,55,26M 1S
54,55,25M 44S
54,57,24M 38S
57,57,24M 27S
57,59,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,59,23M 20S
59,61,22M 53S
61,61,22M 29S
63,61,22M 12S
63,63,21M 41S
65,63,21M 8S
65,65,20M 34S
65,67,19M 21S
67,67,19M 1S
67,70,18M 40S
70,70,18M 25S
70,73,18M 13S
70,74,17M 43S
70,75,17M 43S
72,75,16M 52S
72,77,16M 34S
75,77,16M 9S
75,79,15M 46S
75,81,15M 30S
78,81,15M 7S
78,83,14M 31S
81,83,14M 4S
83,83,13M 31S
83,84,13M 16S
83,85,12M 54S
Jump ball: P. Millsap vs. R. Hood (S. Harrison gains possession),NA,12M 46S
83,87,12M 8S
84,87,12M 2S
85,87,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,88,11M 38S
85,89,11M 38S
85,91,10M 52S
85,93,10M 21S
85,96,9M 42S
85,99,9M 20S
85,102,8M 38S
88,102,7M 59S
88,103,7M 35S
88,105,7M 13S
88,106,7M 13S
88,109,7M 7S
91,109,6M 20S
91,111,6M 3S
91,113,5M 14S
91,114,5M 14S
92,114,5M 0S
93,114,5M 0S
95,114,4M 32S
96,114,4M 32S
96,116,4M 17S
96,118,3M 17S
99,118,3M 2S
100,118,2M 19S
101,118,2M 19S
101,121,2M 7S
103,121,1M 51S
104,121,1M 51S
106,121,1M 14S
109,121,45S
111,121,22S
End of 4th quarter,NA,0S
