Brooklyn,Oklahoma City,time_rem
13-8,8-10,48M 0S
0,3,47M 45S
0,5,47M 19S
2,5,47M 7S
4,5,46M 48S
4,8,46M 36S
6,8,45M 35S
9,8,44M 23S
9,11,43M 58S
11,11,43M 42S
14,11,43M 19S
16,11,42M 26S
16,13,42M 9S
16,16,41M 25S
18,16,41M 0S
18,19,40M 43S
20,19,40M 22S
20,20,40M 9S
22,20,40M 0S
23,20,40M 0S
25,20,39M 26S
27,20,38M 36S
28,20,38M 36S
28,21,38M 22S
28,22,38M 22S
28,23,37M 21S
28,24,37M 21S
30,24,37M 2S
31,24,37M 2S
31,25,36M 53S
31,26,36M 53S
34,26,36M 27S
34,27,36M 19S
36,27,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
Jump ball: R. Perry vs. A. Pokusevski (J. Harden gains possession),NA,35M 38S
38,27,35M 28S
41,27,34M 59S
42,27,34M 12S
43,27,34M 12S
46,27,33M 47S
49,27,33M 13S
51,27,32M 53S
51,30,32M 35S
51,31,32M 1S
51,32,32M 1S
51,33,32M 1S
53,33,31M 48S
53,35,31M 2S
53,36,31M 2S
55,36,30M 53S
56,36,30M 53S
56,39,30M 39S
56,41,29M 54S
59,41,29M 34S
59,43,29M 23S
59,44,29M 23S
61,44,29M 7S
61,46,28M 45S
64,46,28M 33S
64,48,28M 14S
66,48,28M 1S
66,50,27M 26S
68,50,27M 5S
68,52,26M 47S
71,52,26M 37S
73,52,26M 4S
73,55,25M 34S
76,55,24M 14S
76,57,24M 2S
76,58,24M 0S
76,59,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
78,59,23M 40S
78,61,23M 26S
80,61,23M 8S
80,64,22M 45S
82,64,22M 29S
84,64,22M 0S
84,67,21M 46S
86,67,21M 1S
86,70,20M 44S
88,70,20M 31S
91,70,20M 2S
91,73,19M 42S
91,75,19M 7S
91,78,18M 25S
93,78,18M 6S
93,79,17M 51S
95,79,17M 33S
96,79,17M 12S
97,79,17M 12S
97,81,16M 59S
99,81,16M 46S
100,81,16M 46S
100,83,16M 28S
102,83,15M 53S
103,83,15M 53S
103,85,15M 39S
103,87,14M 56S
103,89,14M 20S
106,89,14M 4S
108,89,13M 48S
111,89,13M 9S
111,92,13M 1S
111,93,12M 46S
111,94,12M 46S
113,94,12M 31S
114,94,12M 14S
115,94,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
117,94,11M 10S
117,97,10M 48S
117,99,10M 20S
117,100,9M 8S
117,101,9M 8S
117,104,8M 48S
120,104,8M 36S
121,104,8M 36S
123,104,8M 3S
123,105,7M 47S
123,106,7M 47S
126,106,7M 36S
129,106,7M 0S
129,107,6M 14S
129,108,6M 14S
129,109,5M 48S
129,110,5M 48S
131,110,5M 29S
132,110,5M 8S
132,111,5M 3S
132,112,5M 3S
135,112,4M 48S
135,114,4M 30S
135,116,3M 52S
137,116,3M 13S
140,116,2M 46S
140,118,2M 33S
140,120,2M 13S
143,120,2M 1S
145,120,1M 39S
145,121,1M 30S
145,123,1M 8S
147,123,35S
147,125,15S
End of 4th quarter,NA,0S
