Portland,Denver,time_rem
2-3,3-2,48M 0S
0,3,47M 36S
0,5,45M 28S
0,8,45M 3S
0,10,44M 2S
1,10,43M 53S
1,13,43M 33S
1,14,43M 6S
3,14,42M 55S
5,14,42M 24S
5,16,42M 12S
7,16,41M 56S
7,18,41M 36S
9,18,41M 18S
9,21,41M 5S
11,21,40M 53S
12,21,40M 53S
12,23,40M 38S
12,26,40M 22S
15,26,40M 5S
15,27,39M 33S
15,28,39M 33S
18,28,39M 22S
18,31,38M 49S
20,31,38M 30S
20,33,38M 10S
20,35,37M 32S
22,35,37M 19S
22,38,37M 1S
24,38,36M 53S
25,38,36M 53S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,38,35M 40S
27,38,35M 40S
27,40,35M 24S
30,40,35M 4S
30,42,34M 39S
32,42,34M 33S
32,44,34M 6S
32,47,33M 20S
32,50,32M 50S
32,52,32M 14S
32,54,31M 52S
33,54,31M 44S
34,54,31M 44S
36,54,31M 19S
36,57,31M 1S
39,57,30M 45S
39,59,30M 14S
40,59,29M 25S
41,59,28M 52S
44,59,28M 37S
46,59,27M 30S
47,59,27M 7S
48,59,27M 7S
51,59,26M 50S
53,59,26M 20S
53,61,26M 0S
56,61,25M 44S
56,62,25M 34S
56,63,25M 34S
58,63,25M 15S
60,63,24M 55S
60,65,24M 19S
62,65,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,65,23M 16S
65,65,22M 6S
65,67,21M 51S
67,67,21M 26S
67,69,20M 59S
67,70,20M 9S
68,70,19M 57S
68,72,19M 34S
71,72,19M 22S
71,75,18M 59S
71,77,18M 26S
72,77,18M 13S
73,77,18M 13S
74,77,17M 58S
75,77,17M 58S
75,79,17M 43S
75,80,17M 43S
77,80,17M 9S
77,82,16M 55S
80,82,16M 31S
82,82,16M 5S
83,82,16M 5S
83,83,15M 42S
83,84,15M 42S
86,84,15M 27S
89,84,14M 57S
89,86,14M 45S
92,86,14M 9S
92,87,13M 49S
92,88,13M 49S
92,90,12M 50S
93,90,12M 32S
94,90,12M 32S
94,91,12M 18S
94,92,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,94,11M 36S
95,94,11M 17S
96,94,11M 17S
96,97,10M 33S
98,97,9M 18S
98,98,8M 54S
98,99,8M 54S
98,100,8M 54S
98,103,8M 11S
98,104,7M 32S
98,105,7M 32S
101,105,7M 20S
103,105,6M 46S
105,105,6M 8S
105,107,5M 43S
108,107,5M 25S
108,110,5M 2S
108,113,3M 31S
110,113,3M 18S
111,113,2M 52S
112,113,2M 52S
112,115,2M 37S
115,115,2M 23S
115,117,2M 1S
115,118,52S
115,119,52S
118,119,13S
118,120,12S
118,121,12S
121,121,3S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: E. Freedom vs. N. Jokić (A. Gordon gains possession),NA,5M 0S
121,124,4M 42S
123,124,4M 15S
123,126,3M 48S
123,129,3M 11S
123,132,2M 16S
125,132,2M 11S
126,132,2M 11S
126,134,1M 52S
129,134,1M 0S
132,134,23S
132,135,16S
135,135,6S
End of 1st overtime,NA,0S
Start of 2nd overtime,NA,5M 0S
Jump ball: C. Anthony vs. N. Jokić (M. Morris gains possession),NA,5M 0S
137,135,4M 29S
137,138,4M 12S
140,138,3M 47S
140,140,3M 19S
140,143,1M 33S
140,144,8S
140,145,8S
140,146,3S
140,147,3S
End of 2nd overtime,NA,0S
