Houston,Utah,time_rem
11-25,28-9,48M 0S
0,0,47M 54S
3,0,47M 19S
3,1,47M 3S
3,2,47M 3S
5,2,46M 53S
5,4,46M 44S
5,5,46M 32S
5,6,46M 32S
7,6,46M 21S
7,9,45M 41S
9,9,45M 1S
9,12,44M 46S
9,14,44M 15S
10,14,43M 52S
10,16,43M 38S
12,16,43M 24S
15,16,43M 1S
15,17,42M 47S
15,18,42M 11S
15,19,42M 11S
17,19,41M 45S
17,20,41M 26S
17,21,41M 26S
19,21,41M 3S
19,22,39M 46S
19,23,39M 46S
19,25,39M 27S
19,27,38M 50S
21,27,38M 36S
22,27,38M 36S
24,27,38M 4S
24,29,37M 25S
26,29,37M 15S
26,30,37M 7S
26,33,36M 50S
27,33,36M 40S
27,36,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,38,34M 56S
27,40,34M 22S
30,40,34M 9S
30,42,33M 47S
32,42,32M 33S
32,45,32M 22S
32,46,31M 46S
32,47,31M 46S
34,47,31M 12S
34,50,30M 58S
36,50,29M 52S
38,50,29M 7S
40,50,28M 18S
40,53,27M 44S
42,53,26M 57S
43,53,26M 37S
43,55,26M 27S
43,56,26M 27S
43,57,26M 4S
43,58,26M 4S
46,58,25M 27S
46,61,25M 7S
46,63,24M 45S
48,63,24M 33S
48,64,24M 19S
48,65,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,65,23M 34S
50,68,23M 22S
50,70,22M 41S
53,70,22M 29S
53,72,22M 12S
53,74,21M 40S
55,74,21M 24S
55,76,21M 7S
57,76,20M 14S
57,78,19M 56S
59,78,19M 0S
61,78,18M 32S
61,80,18M 16S
62,80,18M 4S
63,80,18M 4S
63,83,17M 11S
63,86,16M 41S
66,86,16M 8S
68,86,15M 42S
68,88,15M 18S
69,88,15M 1S
70,88,15M 1S
70,90,14M 50S
72,90,13M 56S
74,90,13M 38S
74,92,13M 20S
76,92,13M 1S
79,92,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,92,10M 9S
81,94,9M 15S
83,94,9M 5S
85,94,8M 41S
88,94,8M 2S
90,94,7M 28S
90,97,7M 23S
92,97,7M 12S
92,99,7M 1S
92,102,5M 55S
94,102,5M 18S
96,102,4M 23S
96,104,4M 11S
Jump ball: R. O'Neale vs. A. Lamb (R. O'Neale gains possession),NA,3M 26S
96,105,3M 12S
96,108,2M 17S
99,108,1M 33S
99,110,1M 16S
99,113,59S
99,114,21S
End of 4th quarter,NA,0S
