LA Clippers,Detroit,time_rem
39-18,16-39,48M 0S
0,2,47M 39S
2,2,47M 15S
2,4,46M 31S
3,4,46M 10S
3,6,45M 57S
5,6,45M 45S
5,7,45M 18S
7,7,45M 6S
7,9,44M 50S
7,10,44M 50S
8,10,44M 36S
9,10,44M 36S
11,10,44M 19S
12,10,43M 53S
13,10,43M 11S
14,10,43M 11S
16,10,42M 44S
16,12,41M 50S
16,14,41M 18S
18,14,40M 21S
19,14,40M 21S
19,17,40M 1S
19,19,39M 37S
19,21,39M 23S
21,21,38M 55S
21,23,38M 38S
23,23,38M 10S
24,23,38M 1S
25,23,38M 1S
25,25,37M 21S
27,25,36M 58S
30,25,36M 21S
30,27,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,27,35M 35S
32,30,35M 22S
34,30,34M 35S
35,30,34M 35S
36,30,33M 59S
37,30,33M 59S
37,32,33M 2S
37,34,32M 43S
37,36,32M 3S
39,36,31M 46S
42,36,31M 8S
42,39,30M 41S
45,39,30M 12S
45,42,28M 44S
46,42,27M 51S
47,42,27M 51S
47,44,27M 20S
47,45,27M 20S
49,45,26M 7S
50,45,25M 41S
51,45,25M 41S
53,45,25M 13S
53,47,24M 56S
53,49,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,52,23M 38S
55,52,22M 31S
55,54,22M 12S
57,54,21M 42S
57,55,21M 15S
57,56,20M 49S
57,57,20M 49S
57,58,20M 49S
57,59,20M 20S
57,60,20M 20S
59,60,19M 33S
59,62,19M 17S
61,62,18M 23S
61,64,17M 39S
63,64,16M 33S
63,65,16M 22S
63,66,16M 22S
65,66,16M 9S
65,68,15M 44S
67,68,15M 33S
67,70,15M 16S
67,71,14M 41S
69,71,14M 25S
69,73,14M 2S
69,75,13M 0S
69,77,12M 22S
72,77,12M 2S
73,77,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,79,11M 7S
75,79,10M 49S
75,82,10M 27S
78,82,10M 2S
80,82,8M 44S
80,84,8M 27S
80,86,6M 59S
80,89,6M 28S
82,89,6M 11S
82,91,5M 14S
82,93,4M 51S
84,93,4M 22S
85,93,3M 21S
86,93,3M 21S
86,94,3M 6S
89,94,2M 56S
89,95,2M 23S
89,96,2M 23S
91,96,1M 40S
93,96,57S
93,97,46S
93,98,46S
95,98,43S
98,98,19S
100,98,2S
End of 4th quarter,NA,0S
