Golden State,Houston,time_rem
32-32,16-48,48M 0S
2,0,47M 45S
2,3,46M 59S
2,5,46M 3S
5,5,45M 51S
Jump ball: K. Looney vs. K. Olynyk (S. Curry gains possession),NA,45M 35S
8,5,44M 44S
8,7,44M 4S
8,8,43M 17S
11,8,43M 5S
11,11,42M 34S
13,11,42M 22S
13,13,42M 3S
13,14,42M 3S
13,16,41M 24S
13,19,40M 1S
16,19,39M 45S
18,19,39M 21S
20,19,38M 58S
Jump ball: C. Wood vs. D. Green (K. Martin gains possession),NA,38M 22S
22,19,38M 2S
22,22,37M 42S
22,24,36M 41S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,26,35M 2S
25,26,34M 29S
25,29,33M 55S
25,31,33M 23S
25,33,32M 56S
27,33,32M 39S
29,33,32M 8S
29,34,31M 54S
29,36,31M 30S
32,36,31M 12S
32,38,31M 0S
33,38,30M 53S
34,38,30M 53S
34,40,30M 33S
34,42,29M 18S
37,42,29M 5S
37,43,28M 43S
37,44,28M 43S
37,46,27M 56S
38,46,27M 47S
38,49,27M 23S
40,49,27M 9S
41,49,26M 52S
42,49,26M 52S
42,50,26M 41S
43,50,26M 9S
44,50,26M 9S
45,50,25M 47S
46,50,25M 47S
46,52,25M 24S
47,52,25M 16S
49,52,24M 42S
49,55,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,55,23M 30S
51,56,22M 34S
53,56,21M 54S
53,59,21M 41S
55,59,21M 19S
57,59,21M 1S
59,59,20M 8S
62,59,19M 42S
65,59,18M 57S
66,59,18M 33S
67,59,18M 33S
70,59,18M 8S
73,59,17M 39S
74,59,17M 2S
75,59,17M 2S
77,59,16M 35S
77,61,16M 16S
77,63,15M 42S
80,63,15M 26S
82,63,15M 4S
82,64,14M 49S
82,65,14M 49S
85,65,14M 5S
85,67,12M 59S
86,67,12M 40S
87,67,12M 40S
88,67,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,67,11M 38S
90,69,11M 24S
92,69,11M 9S
95,69,9M 9S
95,71,7M 57S
95,73,6M 49S
95,74,6M 35S
97,74,6M 15S
97,76,5M 46S
100,76,5M 34S
103,76,5M 16S
103,79,5M 3S
103,80,4M 30S
103,81,4M 30S
106,81,3M 37S
106,83,3M 10S
109,83,2M 34S
109,85,1M 55S
109,86,1M 6S
109,87,1M 6S
111,87,44S
113,87,28S
End of 4th quarter,NA,0S
