Denver,Atlanta,time_rem
16-14,13-17,48M 0S
0,0,47M 40S
0,3,46M 50S
3,3,45M 59S
5,3,45M 28S
6,3,45M 28S
6,5,45M 5S
8,5,44M 28S
10,5,44M 6S
10,7,43M 55S
12,7,43M 34S
12,9,43M 16S
12,10,42M 42S
12,11,42M 42S
14,11,42M 25S
15,11,42M 25S
15,13,41M 44S
17,13,41M 32S
17,16,41M 19S
20,16,41M 0S
20,17,40M 50S
20,18,40M 50S
23,18,40M 22S
25,18,40M 5S
25,19,39M 52S
25,20,39M 24S
27,20,38M 49S
27,21,38M 5S
27,22,38M 5S
30,22,37M 49S
31,22,37M 9S
31,24,36M 58S
33,24,36M 48S
33,27,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,30,35M 46S
Jump ball: S. Hill vs. I. Hartenstein (D. Gallinari gains possession),NA,35M 19S
33,31,34M 30S
33,33,34M 20S
33,34,34M 20S
33,37,33M 20S
36,37,33M 6S
38,37,32M 48S
38,40,32M 18S
40,40,32M 2S
40,41,31M 34S
42,41,31M 23S
42,43,31M 15S
45,43,30M 28S
47,43,29M 49S
47,45,29M 25S
47,47,28M 49S
47,49,28M 24S
47,51,27M 23S
50,51,27M 9S
50,53,26M 45S
50,56,26M 16S
50,58,25M 49S
52,58,25M 36S
52,60,25M 30S
54,60,25M 19S
54,62,24M 50S
54,64,24M 32S
56,64,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,66,23M 38S
58,66,23M 24S
60,66,22M 55S
60,69,22M 40S
62,69,21M 11S
62,71,20M 40S
62,74,20M 21S
64,74,20M 6S
64,76,19M 49S
66,76,19M 33S
66,79,18M 50S
66,81,17M 33S
66,83,16M 37S
66,85,16M 7S
69,85,15M 52S
69,88,15M 6S
69,91,14M 35S
72,91,14M 10S
74,91,13M 35S
74,93,12M 41S
76,93,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,94,11M 24S
76,95,11M 24S
78,95,10M 38S
78,97,10M 16S
80,97,10M 4S
80,99,9M 41S
83,99,9M 22S
86,99,9M 2S
88,99,8M 19S
88,101,7M 37S
89,101,7M 12S
90,101,7M 12S
90,103,6M 50S
91,103,6M 3S
92,103,6M 3S
92,104,5M 49S
92,105,5M 49S
92,107,5M 16S
92,108,4M 3S
92,109,4M 3S
95,109,3M 51S
95,111,3M 37S
96,111,3M 27S
97,111,3M 27S
97,112,3M 25S
97,113,3M 25S
99,113,3M 4S
102,113,1M 53S
105,113,1M 14S
105,115,57S
106,115,52S
107,115,52S
107,116,48S
107,117,48S
110,117,46S
110,118,41S
110,119,41S
110,120,35S
110,121,35S
111,121,31S
112,121,31S
112,122,23S
112,123,23S
115,123,19S
End of 4th quarter,NA,0S
