New York,Oklahoma City,time_rem
20-19,16-22,48M 0S
0,0,47M 54S
0,2,47M 33S
2,2,46M 43S
2,4,46M 20S
2,7,45M 55S
5,7,45M 36S
5,9,45M 15S
7,9,44M 48S
7,12,44M 12S
7,13,43M 6S
7,14,43M 6S
7,15,43M 6S
7,17,42M 29S
9,17,41M 36S
11,17,41M 19S
13,17,40M 37S
13,19,40M 5S
13,21,39M 41S
15,21,39M 23S
15,24,39M 11S
17,24,38M 45S
17,26,38M 31S
19,26,38M 13S
20,26,37M 12S
20,28,37M 5S
20,29,37M 5S
22,29,36M 56S
22,31,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,33,35M 49S
25,33,35M 0S
25,35,34M 46S
28,35,34M 28S
28,36,34M 11S
30,36,33M 52S
31,36,33M 23S
32,36,33M 23S
32,38,33M 12S
32,39,32M 47S
34,39,32M 36S
34,41,32M 17S
36,41,31M 22S
36,44,31M 0S
38,44,30M 1S
39,44,30M 1S
41,44,29M 31S
41,45,29M 17S
41,46,29M 17S
43,46,29M 3S
44,46,29M 3S
44,48,28M 44S
47,48,28M 22S
48,48,27M 26S
49,48,27M 26S
52,48,26M 29S
53,48,26M 8S
56,48,25M 39S
56,49,25M 20S
56,50,25M 20S
56,51,24M 52S
56,52,24M 52S
56,54,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,57,23M 42S
56,59,22M 56S
58,59,22M 43S
58,60,22M 30S
61,60,22M 19S
63,60,21M 49S
64,60,21M 24S
65,60,21M 24S
67,60,21M 17S
67,62,20M 48S
69,62,20M 38S
72,62,20M 17S
73,62,19M 49S
74,62,19M 49S
74,65,19M 37S
74,67,18M 56S
77,67,17M 56S
77,69,17M 40S
77,70,17M 19S
77,71,17M 19S
79,71,17M 4S
79,73,15M 58S
82,73,14M 52S
82,76,14M 7S
84,76,13M 52S
84,78,13M 32S
85,78,13M 19S
86,78,12M 53S
87,78,12M 12S
88,78,12M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,78,11M 44S
90,81,11M 28S
93,81,11M 4S
93,83,10M 53S
93,85,9M 30S
95,85,9M 13S
98,85,8M 39S
100,85,6M 47S
100,87,6M 28S
102,87,6M 12S
104,87,5M 41S
106,87,4M 53S
106,89,3M 54S
109,89,3M 7S
109,91,2M 56S
111,91,2M 39S
111,93,2M 0S
113,93,1M 45S
114,93,1M 45S
117,93,1M 4S
119,93,50S
119,95,41S
119,97,33S
End of 4th quarter,NA,0S
