Houston,Oklahoma City,time_rem
10-10,9-11,48M 0S
3,0,47M 47S
3,3,47M 31S
6,3,46M 55S
6,5,46M 43S
6,7,46M 19S
6,10,44M 55S
8,10,44M 42S
9,10,44M 42S
10,10,44M 27S
11,10,44M 27S
13,10,44M 8S
16,10,43M 34S
16,12,42M 55S
16,14,42M 35S
16,16,42M 4S
18,16,41M 47S
20,16,41M 20S
20,17,41M 8S
20,18,41M 8S
20,19,39M 59S
20,20,39M 59S
23,20,39M 49S
23,22,39M 32S
23,23,38M 56S
23,24,38M 56S
25,24,37M 45S
25,27,37M 24S
25,29,36M 32S
25,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,32,35M 47S
25,33,35M 8S
27,33,34M 50S
27,36,34M 0S
27,38,33M 15S
27,39,32M 29S
29,39,32M 19S
29,42,31M 21S
29,43,29M 42S
29,44,29M 42S
31,44,28M 24S
31,47,27M 48S
31,49,27M 24S
31,50,27M 24S
32,50,27M 18S
33,50,27M 18S
35,50,26M 48S
35,52,26M 32S
38,52,26M 17S
38,54,26M 1S
40,54,25M 35S
43,54,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,56,23M 42S
45,56,23M 11S
45,58,22M 45S
47,58,21M 16S
50,58,20M 53S
50,59,20M 28S
50,60,20M 28S
50,62,19M 44S
50,64,19M 27S
52,64,19M 5S
52,66,18M 53S
52,68,18M 30S
54,68,18M 16S
56,68,17M 5S
56,70,16M 22S
56,72,15M 43S
56,74,14M 49S
56,76,13M 47S
56,78,13M 16S
58,78,13M 0S
58,80,12M 20S
58,81,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
58,82,11M 35S
60,82,11M 21S
60,85,11M 0S
60,87,10M 31S
60,88,9M 54S
60,89,9M 54S
60,90,9M 54S
63,90,9M 31S
65,90,8M 37S
67,90,7M 40S
70,90,6M 50S
70,93,6M 32S
73,93,5M 19S
75,93,4M 58S
75,96,4M 44S
78,96,3M 36S
78,98,3M 13S
78,99,2M 31S
78,100,2M 31S
78,103,2M 10S
79,103,2M 1S
80,103,2M 1S
81,103,1M 34S
81,104,1M 27S
84,104,1M 15S
86,104,44S
87,104,12S
End of 4th quarter,NA,0S
