Sacramento,Toronto,time_rem
8-10,7-12,48M 0S
0,2,47M 39S
2,2,47M 14S
2,4,46M 56S
3,4,46M 26S
4,4,46M 26S
4,6,45M 22S
7,6,45M 5S
7,7,44M 40S
10,7,44M 30S
10,10,44M 5S
13,10,43M 51S
13,12,43M 29S
15,12,42M 10S
15,14,41M 54S
17,14,40M 41S
18,14,40M 41S
18,16,40M 29S
19,16,39M 38S
20,16,39M 38S
22,16,39M 8S
22,18,38M 50S
22,19,38M 50S
24,19,38M 38S
24,22,38M 27S
27,22,38M 13S
30,22,37M 37S
30,24,36M 42S
33,24,36M 29S
36,24,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,24,35M 37S
40,24,35M 3S
41,24,35M 3S
41,27,34M 54S
41,29,34M 27S
43,29,33M 53S
45,29,33M 23S
45,30,33M 12S
45,31,33M 12S
45,34,32M 37S
45,36,32M 9S
45,37,31M 27S
45,38,31M 27S
47,38,31M 18S
49,38,30M 52S
50,38,30M 52S
Jump ball: A. Baynes vs. R. Holmes (F. VanVleet gains possession),NA,30M 20S
50,41,30M 8S
50,42,29M 51S
50,43,29M 51S
51,43,29M 36S
52,43,29M 36S
52,45,29M 29S
55,45,29M 6S
56,45,28M 38S
58,45,28M 11S
58,46,27M 54S
58,47,27M 54S
58,49,26M 51S
60,49,26M 15S
60,51,26M 3S
60,52,25M 59S
60,53,25M 59S
62,53,25M 48S
63,53,25M 48S
65,53,25M 0S
65,56,24M 51S
66,56,24M 34S
66,58,24M 17S
68,58,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,58,23M 28S
70,58,23M 28S
70,60,23M 4S
73,60,22M 29S
76,60,22M 2S
76,61,21M 47S
76,62,21M 47S
78,62,21M 32S
78,65,21M 22S
81,65,20M 54S
81,66,20M 29S
81,67,20M 29S
83,67,20M 16S
83,70,19M 42S
85,70,19M 23S
85,71,18M 59S
85,73,18M 27S
88,73,18M 10S
88,74,17M 52S
90,74,17M 27S
90,76,16M 43S
90,77,16M 43S
93,77,16M 22S
93,78,16M 11S
93,80,15M 43S
95,80,15M 16S
95,82,15M 3S
97,82,14M 47S
97,83,14M 20S
97,84,14M 20S
99,84,14M 6S
100,84,14M 6S
102,84,13M 32S
102,86,12M 47S
104,86,12M 34S
104,89,12M 31S
104,90,12M 4S
104,91,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
104,94,11M 13S
106,94,10M 33S
108,94,10M 14S
Jump ball: A. Baynes vs. R. Holmes (Y. Watanabe gains possession),NA,9M 23S
108,96,9M 14S
110,96,8M 53S
110,98,8M 31S
Jump ball: D. Fox vs. Y. Watanabe (H. Barnes gains possession),NA,8M 15S
110,99,7M 29S
111,99,7M 9S
112,99,7M 9S
112,102,7M 1S
112,105,6M 2S
112,107,5M 21S
114,107,5M 9S
114,108,5M 8S
114,110,3M 49S
117,110,2M 52S
117,112,2M 18S
117,114,1M 50S
117,116,1M 8S
120,116,44S
120,117,37S
121,117,18S
121,119,9S
122,119,7S
123,119,7S
123,121,5S
124,121,4S
125,121,4S
126,121,4S
126,124,0S
End of 4th quarter,NA,0S
