Utah,New York,time_rem
4-4,5-3,48M 0S
0,0,47M 45S
0,2,47M 16S
0,4,46M 43S
2,4,45M 48S
2,6,44M 54S
4,6,43M 37S
4,8,43M 21S
4,9,43M 1S
6,9,42M 14S
6,11,41M 29S
9,11,40M 59S
11,11,40M 21S
11,13,40M 8S
13,13,39M 51S
15,13,39M 24S
15,15,38M 28S
17,15,38M 13S
20,15,37M 38S
20,17,37M 18S
22,17,37M 8S
25,17,36M 28S
25,20,36M 10S
27,20,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,20,35M 42S
33,20,35M 15S
34,20,34M 49S
34,22,34M 15S
37,22,33M 51S
37,25,33M 38S
37,26,33M 10S
39,26,32M 57S
42,26,32M 14S
44,26,31M 46S
44,28,30M 26S
44,30,29M 38S
44,32,28M 59S
45,32,28M 47S
47,32,28M 28S
49,32,28M 2S
49,34,27M 41S
52,34,27M 3S
52,36,26M 45S
52,37,26M 21S
52,38,26M 21S
52,40,25M 0S
54,40,24M 47S
54,41,24M 38S
54,42,24M 38S
54,44,24M 27S
56,44,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,46,23M 32S
56,48,23M 7S
58,48,22M 56S
58,50,22M 32S
60,50,22M 17S
60,52,21M 42S
60,53,20M 41S
62,53,20M 13S
62,55,19M 52S
62,57,18M 57S
62,58,18M 33S
65,58,17M 29S
68,58,17M 8S
68,60,16M 46S
68,62,16M 19S
68,64,15M 56S
70,64,15M 39S
70,66,15M 24S
70,68,14M 4S
73,68,13M 45S
73,69,13M 26S
73,70,13M 26S
75,70,13M 2S
75,72,12M 52S
75,73,12M 40S
75,74,12M 40S
75,76,12M 28S
75,78,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,80,11M 46S
75,82,11M 17S
76,82,11M 5S
77,82,11M 5S
79,82,10M 34S
81,82,9M 56S
81,84,9M 36S
84,84,9M 18S
84,87,8M 59S
85,87,8M 35S
86,87,8M 35S
86,89,8M 19S
86,92,7M 38S
89,92,7M 20S
91,92,6M 14S
91,94,6M 1S
93,94,5M 44S
93,96,5M 31S
96,96,5M 14S
96,99,4M 16S
96,101,3M 43S
98,101,3M 30S
98,104,3M 5S
98,107,2M 23S
100,107,1M 10S
100,110,48S
100,111,33S
100,112,33S
End of 4th quarter,NA,0S
