Philadelphia,Minnesota,time_rem
14-6,4-14,48M 0S
0,0,47M 46S
0,2,47M 8S
0,4,45M 16S
2,4,44M 41S
3,4,44M 41S
4,4,44M 30S
5,4,44M 30S
5,6,44M 13S
5,8,43M 50S
6,8,43M 33S
7,8,43M 33S
7,10,43M 24S
7,13,42M 42S
9,13,42M 27S
9,14,42M 18S
9,15,42M 18S
9,16,42M 18S
11,16,42M 3S
12,16,41M 37S
13,16,41M 37S
16,16,41M 10S
16,17,40M 54S
16,18,40M 54S
19,18,40M 44S
19,20,40M 29S
19,22,39M 53S
20,22,39M 28S
21,22,39M 28S
22,22,39M 5S
23,22,39M 5S
23,23,37M 58S
24,23,37M 26S
25,23,37M 26S
25,25,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,25,35M 33S
27,27,35M 21S
27,30,34M 45S
28,30,34M 23S
28,32,33M 59S
28,33,32M 57S
28,34,32M 57S
30,34,32M 48S
30,36,32M 33S
32,36,32M 16S
34,36,31M 40S
34,37,31M 6S
34,39,30M 7S
35,39,29M 28S
36,39,29M 28S
36,40,28M 36S
36,41,28M 36S
38,41,28M 23S
39,41,28M 0S
40,41,28M 0S
42,41,27M 42S
42,43,27M 21S
42,44,27M 21S
44,44,27M 9S
46,44,26M 36S
48,44,25M 27S
49,44,25M 27S
49,46,25M 11S
51,46,24M 58S
51,48,24M 33S
52,48,24M 17S
53,48,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,48,23M 27S
55,50,23M 4S
57,50,22M 45S
57,53,22M 27S
59,53,22M 8S
59,56,21M 29S
61,56,21M 7S
Jump ball: D. Russell vs. B. Simmons (J. Okogie gains possession),NA,20M 54S
64,56,20M 39S
64,58,20M 24S
67,58,20M 15S
68,58,19M 44S
69,58,19M 44S
69,60,19M 30S
72,60,19M 20S
72,63,19M 5S
75,63,18M 33S
77,63,17M 56S
77,65,17M 39S
79,65,17M 26S
79,68,17M 0S
81,68,16M 21S
81,70,16M 0S
83,70,15M 39S
85,70,15M 14S
Jump ball: M. Thybulle vs. R. Rubio (F. Korkmaz gains possession),NA,14M 57S
86,70,14M 43S
87,70,14M 43S
87,72,14M 2S
88,72,13M 18S
88,74,13M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,77,10M 32S
90,77,10M 14S
93,77,9M 29S
95,77,8M 59S
95,79,8M 40S
97,79,8M 13S
97,81,7M 49S
97,83,7M 23S
99,83,7M 3S
102,83,6M 19S
104,83,5M 37S
105,83,5M 37S
107,83,5M 7S
108,83,4M 17S
109,83,4M 17S
109,86,3M 21S
111,86,2M 57S
111,89,2M 39S
111,90,2M 11S
111,91,2M 11S
112,91,1M 51S
114,91,1M 21S
114,94,1M 11S
116,94,56S
117,94,33S
118,94,33S
End of 4th quarter,NA,0S
