Brooklyn,Boston,time_rem
2-0,1-1,48M 0S
0,0,47M 35S
2,0,46M 0S
2,2,45M 36S
5,2,45M 14S
5,4,45M 5S
7,4,44M 54S
10,4,44M 15S
10,7,43M 52S
10,9,43M 26S
11,9,43M 17S
13,9,41M 49S
13,12,41M 29S
14,12,41M 16S
15,12,41M 16S
15,14,40M 29S
18,14,40M 13S
18,17,38M 37S
20,17,38M 19S
20,19,37M 58S
21,19,37M 28S
22,19,37M 28S
22,20,36M 47S
24,20,36M 34S
24,21,36M 26S
24,22,36M 26S
26,22,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,24,35M 22S
26,26,34M 52S
27,26,34M 44S
27,28,34M 27S
30,28,34M 11S
30,30,33M 31S
30,32,33M 16S
32,32,33M 0S
32,35,32M 41S
32,37,32M 0S
34,37,30M 24S
34,39,30M 4S
36,39,29M 29S
36,41,28M 46S
38,41,28M 11S
39,41,27M 55S
39,43,27M 48S
42,43,27M 37S
45,43,27M 15S
45,44,26M 56S
45,47,26M 20S
46,47,25M 53S
47,47,25M 53S
47,49,25M 41S
48,49,25M 28S
49,49,25M 28S
49,51,25M 5S
50,51,24M 55S
51,51,24M 55S
51,54,24M 41S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,54,23M 39S
54,57,23M 12S
56,57,22M 54S
56,59,22M 43S
58,59,22M 6S
60,59,21M 30S
60,61,21M 3S
63,61,20M 50S
64,61,20M 22S
64,63,20M 8S
66,63,19M 48S
68,63,19M 10S
71,63,18M 35S
71,64,18M 13S
71,65,18M 13S
71,66,17M 33S
71,67,17M 33S
72,67,17M 16S
73,67,17M 16S
73,69,17M 1S
73,70,16M 35S
74,70,16M 21S
75,70,16M 21S
78,70,15M 57S
80,70,15M 4S
82,70,14M 30S
82,72,14M 7S
84,72,13M 58S
84,74,13M 43S
86,74,13M 20S
86,76,12M 43S
86,77,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,79,11M 28S
88,79,11M 18S
90,79,10M 48S
92,79,10M 23S
95,79,9M 44S
95,81,9M 11S
96,81,8M 47S
97,81,8M 47S
97,83,8M 34S
97,84,8M 9S
98,84,7M 50S
99,84,7M 50S
99,86,7M 33S
99,87,6M 45S
99,88,6M 45S
102,88,6M 32S
104,88,5M 31S
106,88,5M 5S
107,88,4M 37S
108,88,4M 37S
108,90,4M 1S
111,90,3M 44S
113,90,3M 10S
113,92,2M 57S
116,92,2M 39S
116,95,2M 17S
118,95,1M 56S
119,95,1M 19S
120,95,1M 19S
123,95,45S
End of 4th quarter,NA,0S
