Charlotte,Houston,time_rem
22-21,12-31,48M 0S
0,2,47M 54S
3,2,47M 32S
3,5,47M 15S
3,7,46M 42S
3,9,46M 7S
5,9,45M 46S
5,11,45M 39S
7,11,45M 27S
7,13,45M 12S
7,15,43M 28S
7,16,42M 49S
7,17,42M 49S
10,17,42M 20S
12,17,41M 46S
15,17,41M 11S
15,19,39M 46S
18,19,39M 2S
20,19,38M 40S
20,21,38M 11S
23,21,37M 52S
23,23,37M 39S
24,23,36M 51S
24,26,36M 34S
25,26,36M 25S
26,26,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,29,35M 35S
27,29,34M 52S
28,29,34M 52S
28,31,34M 28S
29,31,34M 15S
30,31,34M 15S
33,31,33M 37S
35,31,33M 16S
35,33,32M 47S
38,33,32M 34S
38,34,32M 21S
38,35,32M 21S
40,35,32M 8S
41,35,32M 8S
43,35,31M 47S
44,35,31M 47S
44,38,30M 52S
44,41,30M 2S
46,41,29M 11S
46,42,28M 51S
46,43,28M 23S
46,44,28M 23S
49,44,28M 12S
49,47,27M 51S
50,47,27M 12S
52,47,26M 44S
52,48,26M 17S
52,49,26M 17S
52,52,25M 57S
55,52,25M 36S
55,55,24M 38S
56,55,24M 28S
57,55,24M 28S
58,55,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,55,23M 42S
63,55,23M 12S
65,55,22M 38S
65,57,21M 54S
68,57,21M 46S
68,59,20M 40S
71,59,20M 25S
71,61,20M 6S
73,61,19M 49S
75,61,19M 29S
78,61,18M 56S
80,61,17M 57S
80,62,17M 34S
80,65,15M 49S
82,65,15M 30S
84,65,15M 1S
84,68,14M 43S
87,68,14M 26S
89,68,13M 51S
92,68,13M 16S
93,68,13M 16S
93,70,12M 52S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,73,11M 42S
95,73,11M 21S
98,73,10M 51S
101,73,10M 14S
103,73,9M 22S
103,76,8M 42S
103,78,8M 18S
105,78,7M 56S
105,79,7M 44S
105,80,7M 44S
106,80,7M 31S
106,81,7M 6S
107,81,6M 28S
108,81,6M 28S
110,81,5M 18S
112,81,4M 54S
113,81,4M 13S
114,81,4M 8S
114,84,3M 35S
114,85,3M 12S
115,85,2M 58S
116,85,2M 58S
117,85,2M 58S
117,88,2M 47S
117,91,2M 19S
120,91,1M 58S
120,94,1M 47S
122,94,1M 34S
122,96,1M 22S
122,97,1M 3S
End of 4th quarter,NA,0S
