Boston,Indiana,time_rem
2-2,3-1,48M 0S
2,0,47M 47S
2,1,47M 35S
2,2,47M 35S
2,4,47M 9S
4,4,46M 21S
4,7,45M 47S
6,7,45M 28S
6,10,45M 13S
8,10,44M 49S
9,10,44M 0S
10,10,44M 0S
12,10,43M 18S
13,10,42M 41S
14,10,42M 41S
17,10,42M 17S
17,13,42M 0S
19,13,41M 42S
19,16,40M 55S
22,16,40M 43S
23,16,40M 11S
24,16,40M 11S
24,19,40M 1S
27,19,39M 38S
27,21,39M 22S
29,21,37M 46S
29,24,36M 59S
29,26,36M 33S
31,26,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,29,35M 45S
33,29,35M 24S
33,31,35M 1S
36,31,34M 49S
36,34,34M 36S
38,34,34M 17S
38,36,33M 41S
38,38,32M 28S
41,38,31M 49S
42,38,30M 46S
42,40,30M 28S
42,42,29M 48S
44,42,29M 42S
47,42,29M 14S
47,45,28M 51S
49,45,28M 32S
49,47,28M 19S
49,49,27M 48S
50,49,26M 56S
51,49,26M 56S
51,51,26M 45S
53,51,26M 17S
53,53,25M 59S
55,53,25M 31S
57,53,24M 59S
57,55,24M 53S
58,55,24M 32S
58,57,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,60,23M 46S
60,60,22M 19S
60,62,22M 5S
60,63,21M 37S
62,63,21M 26S
62,65,21M 8S
62,66,20M 41S
62,67,20M 41S
62,69,20M 23S
63,69,20M 16S
64,69,20M 16S
64,71,19M 47S
67,71,19M 25S
69,71,18M 59S
70,71,18M 9S
70,72,17M 49S
70,73,17M 49S
70,75,17M 7S
70,76,17M 7S
71,76,16M 51S
71,78,16M 39S
71,81,16M 15S
71,83,15M 52S
71,86,15M 20S
Jump ball: J. Brown vs. V. Oladipo (J. Tatum gains possession),NA,15M 3S
71,88,14M 44S
73,88,14M 33S
76,88,13M 57S
78,88,13M 38S
78,90,13M 20S
78,91,13M 4S
78,92,13M 4S
80,92,12M 54S
81,92,12M 36S
81,94,12M 27S
83,94,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,94,11M 37S
87,94,11M 8S
89,94,10M 34S
91,94,10M 3S
92,94,10M 3S
94,94,9M 17S
94,96,8M 59S
95,96,8M 42S
95,98,8M 21S
97,98,7M 55S
98,98,7M 55S
100,98,7M 29S
100,100,6M 45S
101,100,6M 28S
102,100,6M 28S
104,100,6M 2S
107,100,4M 46S
108,100,4M 11S
109,100,4M 11S
109,101,3M 53S
109,103,2M 58S
109,104,2M 24S
109,105,2M 24S
110,105,2M 5S
111,105,1M 41S
111,107,1M 27S
111,109,1M 1S
113,109,23S
113,111,16S
114,111,14S
115,111,14S
116,111,9S
End of 4th quarter,NA,0S
