Toronto,Milwaukee,time_rem
14-15,16-13,48M 0S
0,2,47M 48S
1,2,47M 23S
2,2,47M 23S
2,5,46M 50S
4,5,46M 38S
5,5,46M 38S
Jump ball: G. Antetokounmpo vs. D. Bembry (D. DiVincenzo gains possession),NA,46M 24S
5,8,46M 18S
5,10,45M 45S
7,10,45M 29S
7,13,45M 12S
9,13,44M 47S
12,13,43M 5S
13,13,42M 36S
14,13,42M 36S
14,14,42M 22S
16,14,42M 10S
16,17,41M 53S
16,19,41M 28S
18,19,40M 50S
18,21,40M 26S
21,21,40M 2S
23,21,39M 40S
25,21,39M 21S
25,24,39M 0S
25,25,38M 14S
25,26,38M 14S
28,26,38M 0S
Jump ball: N. Powell vs. K. Middleton (C. Boucher gains possession),NA,37M 48S
31,26,37M 9S
33,26,36M 38S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,26,35M 41S
35,28,34M 24S
37,28,34M 2S
40,28,33M 34S
40,30,33M 17S
43,30,32M 38S
46,30,30M 47S
46,31,29M 34S
46,32,29M 34S
49,32,28M 54S
49,34,27M 56S
52,34,27M 14S
52,36,26M 44S
53,36,26M 35S
54,36,26M 35S
56,36,26M 7S
56,38,25M 26S
58,38,24M 43S
58,40,24M 33S
58,41,24M 33S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,41,23M 44S
60,43,23M 28S
60,44,23M 20S
62,44,23M 8S
63,44,22M 30S
65,44,21M 58S
65,47,21M 35S
67,47,20M 53S
67,49,20M 35S
69,49,20M 20S
69,51,20M 10S
69,52,20M 10S
71,52,19M 56S
73,52,19M 39S
74,52,18M 38S
75,52,18M 38S
75,54,18M 19S
75,55,17M 40S
75,56,17M 40S
75,57,17M 16S
75,59,16M 41S
78,59,16M 22S
78,61,16M 6S
80,61,15M 31S
80,63,15M 17S
80,65,14M 30S
80,66,14M 30S
80,68,13M 59S
82,68,13M 10S
83,68,13M 10S
83,69,12M 42S
84,69,12M 19S
85,69,12M 19S
85,72,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,74,11M 43S
87,74,10M 51S
87,76,10M 37S
88,76,10M 29S
89,76,10M 29S
89,79,10M 10S
91,79,9M 30S
93,79,8M 58S
93,82,8M 36S
93,83,6M 24S
95,83,6M 6S
96,83,6M 6S
97,83,5M 33S
98,83,5M 33S
100,83,5M 0S
100,85,4M 45S
100,88,4M 12S
103,88,3M 50S
103,90,3M 40S
104,90,2M 41S
105,90,2M 41S
Jump ball: G. Antetokounmpo vs. O. Anunoby (B. Forbes gains possession),NA,2M 33S
105,92,1M 52S
106,92,1M 19S
107,92,1M 19S
107,93,29S
107,94,29S
110,94,17S
110,96,0S
End of 4th quarter,NA,0S
