Toronto,LA Clippers,time_rem
27-39,44-22,48M 0S
0,0,47M 46S
2,0,47M 41S
2,2,47M 25S
2,4,46M 31S
5,4,46M 16S
5,6,45M 32S
5,7,45M 9S
5,8,45M 9S
8,8,44M 54S
8,10,44M 42S
10,10,44M 6S
10,12,43M 40S
12,12,43M 16S
15,12,42M 47S
15,15,42M 13S
15,17,41M 30S
15,19,41M 2S
17,19,40M 45S
20,19,40M 4S
20,22,39M 36S
22,22,39M 21S
22,24,39M 5S
24,24,38M 46S
24,26,38M 18S
25,26,37M 41S
27,26,37M 20S
28,26,37M 20S
30,26,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,29,35M 26S
33,29,35M 2S
33,31,34M 31S
35,31,33M 19S
37,31,32M 59S
37,33,32M 39S
39,33,32M 27S
39,36,32M 13S
41,36,31M 23S
41,39,30M 37S
41,41,29M 52S
43,41,29M 36S
45,41,28M 21S
46,41,27M 28S
48,41,27M 8S
48,44,26M 45S
48,46,25M 36S
49,46,25M 6S
51,46,24M 40S
51,48,24M 29S
54,48,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,49,22M 59S
54,50,22M 59S
57,50,22M 35S
57,53,22M 12S
59,53,21M 49S
59,55,21M 42S
59,58,21M 14S
61,58,20M 52S
64,58,20M 22S
64,61,19M 26S
66,61,18M 8S
67,61,18M 8S
67,63,17M 55S
67,64,17M 22S
67,65,17M 22S
69,65,17M 8S
71,65,16M 14S
71,68,15M 57S
71,71,15M 30S
71,73,15M 13S
74,73,14M 53S
74,75,14M 34S
76,75,13M 54S
76,78,13M 36S
76,79,12M 58S
76,80,12M 58S
78,80,12M 40S
78,82,12M 30S
79,82,12M 10S
82,82,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,82,11M 17S
84,83,11M 1S
84,84,11M 1S
84,86,10M 19S
84,88,8M 14S
87,88,7M 50S
89,88,7M 11S
91,88,6M 38S
94,88,6M 10S
94,90,5M 7S
94,93,4M 39S
94,95,3M 56S
96,95,3M 41S
96,96,3M 17S
96,97,3M 17S
98,97,2M 47S
99,97,2M 47S
99,99,2M 28S
99,102,2M 6S
100,102,1M 50S
100,105,1M 6S
End of 4th quarter,NA,0S
