LA Lakers,Milwaukee,time_rem
12-4,9-6,48M 0S
0,2,47M 44S
2,2,47M 31S
2,4,47M 16S
3,4,46M 30S
4,4,46M 30S
4,6,46M 10S
7,6,45M 38S
7,8,45M 11S
8,8,45M 0S
9,8,45M 0S
9,10,44M 45S
11,10,44M 31S
11,13,44M 7S
13,13,43M 46S
13,16,42M 52S
16,16,42M 20S
16,19,42M 6S
18,19,41M 22S
18,21,40M 12S
20,21,39M 54S
20,23,39M 27S
23,23,39M 7S
23,25,38M 56S
26,25,38M 39S
26,27,38M 28S
26,29,38M 3S
26,31,37M 35S
26,33,36M 59S
29,33,36M 38S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,35,35M 5S
32,35,34M 47S
Jump ball: K. Kuzma vs. P. Connaughton (L. James gains possession),NA,34M 14S
32,37,34M 0S
35,37,33M 49S
35,39,33M 33S
37,39,32M 44S
37,41,32M 24S
39,41,31M 31S
41,41,31M 2S
41,44,30M 44S
41,46,30M 24S
42,46,29M 55S
43,46,29M 55S
43,49,29M 31S
45,49,29M 15S
46,49,28M 49S
47,49,28M 49S
47,50,28M 36S
47,51,28M 36S
49,51,28M 23S
49,53,27M 29S
52,53,27M 6S
52,55,26M 52S
54,55,26M 0S
56,55,25M 23S
59,55,24M 51S
59,57,24M 38S
60,57,24M 19S
63,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,57,23M 43S
69,57,23M 21S
69,59,22M 43S
69,61,22M 20S
69,63,21M 43S
69,64,21M 11S
70,64,20M 51S
70,67,20M 24S
73,67,19M 56S
76,67,19M 38S
76,70,18M 20S
78,70,18M 8S
78,71,16M 18S
78,72,16M 18S
78,74,15M 52S
78,76,15M 12S
80,76,14M 52S
80,77,14M 31S
80,78,14M 31S
82,78,14M 9S
83,78,13M 28S
84,78,13M 28S
84,81,13M 4S
86,81,12M 19S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,83,11M 42S
88,83,11M 20S
91,83,10M 42S
93,83,9M 19S
93,85,9M 1S
96,85,8M 42S
96,87,8M 19S
98,87,7M 21S
98,89,7M 9S
100,89,6M 18S
100,91,6M 4S
102,91,5M 43S
102,93,5M 31S
102,95,4M 4S
102,97,3M 29S
102,98,3M 29S
102,100,3M 5S
105,100,2M 42S
105,101,2M 2S
108,101,1M 42S
108,103,1M 29S
111,103,1M 4S
111,106,32S
113,106,15S
End of 4th quarter,NA,0S
