Toronto,Houston,time_rem
17-26,12-30,48M 0S
2,0,47M 45S
2,2,46M 51S
2,4,46M 9S
4,4,45M 39S
6,4,45M 19S
6,6,45M 4S
8,6,44M 50S
10,6,43M 52S
10,9,43M 34S
12,9,43M 22S
14,9,43M 9S
15,9,43M 0S
15,12,42M 23S
15,15,41M 48S
15,17,41M 17S
17,17,40M 54S
17,18,40M 46S
17,19,40M 46S
18,19,40M 17S
20,19,39M 50S
20,21,39M 34S
22,21,39M 6S
25,21,38M 43S
28,21,38M 5S
28,23,37M 21S
28,25,36M 58S
28,26,36M 28S
28,27,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,29,35M 28S
28,32,34M 33S
29,32,34M 18S
31,32,33M 44S
33,32,33M 11S
33,33,33M 1S
33,34,33M 1S
33,37,32M 41S
33,39,32M 19S
36,39,31M 55S
36,41,30M 55S
39,41,30M 32S
39,43,30M 16S
40,43,29M 48S
41,43,29M 48S
41,46,29M 28S
44,46,28M 46S
46,46,28M 24S
49,46,27M 58S
49,49,27M 36S
49,51,27M 12S
49,54,26M 47S
51,54,26M 30S
53,54,26M 3S
53,56,25M 48S
54,56,25M 41S
55,56,25M 41S
55,57,25M 31S
55,58,25M 31S
56,58,25M 19S
57,58,25M 19S
57,60,24M 58S
57,62,24M 13S
59,62,24M 2S
60,62,24M 2S
60,65,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,68,23M 39S
60,70,23M 0S
62,70,22M 46S
64,70,22M 25S
64,73,21M 49S
64,76,20M 27S
67,76,18M 58S
69,76,18M 33S
69,79,18M 17S
71,79,17M 52S
71,82,17M 33S
71,84,16M 40S
72,84,16M 28S
73,84,16M 28S
73,86,15M 8S
75,86,14M 42S
78,86,14M 12S
80,86,13M 15S
81,86,13M 15S
81,87,13M 3S
81,88,13M 3S
83,88,12M 43S
86,88,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,88,11M 41S
87,89,11M 24S
87,90,11M 24S
87,92,8M 56S
87,93,8M 56S
87,95,8M 36S
87,96,8M 35S
87,97,8M 35S
89,97,8M 1S
90,97,8M 1S
90,99,7M 5S
90,100,6M 30S
90,101,6M 30S
90,103,5M 56S
92,103,5M 45S
92,104,5M 2S
92,105,5M 2S
92,107,4M 38S
92,108,4M 38S
95,108,4M 24S
95,110,4M 11S
97,110,3M 19S
97,112,2M 49S
97,113,1M 53S
99,113,1M 47S
99,115,1M 40S
99,117,57S
End of 4th quarter,NA,0S
