Memphis,Orlando,time_rem
32-31,20-44,48M 0S
0,2,47M 43S
Jump ball: C. Anthony vs. D. Brooks (M. Wagner gains possession),NA,46M 56S
2,2,46M 42S
3,2,46M 29S
4,2,46M 29S
4,5,46M 20S
6,5,46M 3S
9,5,45M 41S
9,7,45M 16S
11,7,45M 2S
11,9,44M 42S
14,9,44M 32S
14,12,44M 12S
17,12,44M 0S
19,12,43M 34S
19,15,42M 45S
22,15,42M 31S
22,17,40M 55S
22,20,40M 30S
24,20,40M 10S
24,21,39M 59S
26,21,39M 46S
26,23,38M 43S
26,24,37M 56S
26,25,37M 56S
28,25,37M 45S
29,25,37M 45S
29,27,37M 24S
32,27,37M 17S
34,27,36M 51S
34,29,36M 35S
36,29,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,31,35M 33S
38,31,34M 54S
40,31,32M 45S
42,31,32M 21S
43,31,32M 20S
44,31,32M 20S
44,33,32M 0S
46,33,31M 18S
48,33,30M 15S
48,35,29M 58S
50,35,29M 46S
52,35,29M 17S
52,36,29M 1S
52,37,29M 1S
54,37,28M 48S
Jump ball: W. Carter vs. J. Jackson (D. Hall gains possession),NA,28M 27S
54,39,28M 22S
54,41,27M 55S
56,41,27M 41S
56,42,26M 52S
56,43,26M 52S
58,43,26M 37S
60,43,26M 12S
60,46,24M 57S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,48,23M 5S
62,48,22M 48S
62,49,22M 26S
64,49,22M 9S
64,51,21M 52S
67,51,21M 35S
67,53,20M 49S
69,53,20M 36S
69,55,20M 14S
69,57,19M 43S
72,57,19M 12S
75,57,18M 41S
77,57,17M 57S
77,59,17M 5S
77,61,16M 3S
79,61,15M 47S
79,64,15M 24S
81,64,15M 18S
81,65,14M 58S
81,66,14M 58S
83,66,14M 44S
83,67,14M 26S
83,68,14M 26S
83,70,13M 45S
83,73,13M 12S
83,74,12M 29S
83,75,12M 29S
85,75,12M 7S
85,76,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,76,11M 22S
86,78,11M 3S
86,80,10M 18S
89,80,9M 41S
91,80,9M 9S
91,82,8M 30S
91,83,8M 30S
92,83,8M 16S
93,83,8M 16S
93,84,8M 2S
93,85,8M 2S
93,87,7M 38S
93,88,7M 38S
95,88,7M 24S
95,91,6M 58S
97,91,6M 39S
97,92,6M 21S
97,93,6M 21S
98,93,5M 33S
98,94,5M 31S
98,95,5M 31S
99,95,5M 18S
100,95,5M 18S
102,95,4M 48S
102,97,3M 43S
103,97,3M 32S
104,97,3M 32S
104,99,3M 20S
106,99,3M 6S
106,101,2M 51S
106,102,2M 21S
106,103,2M 21S
109,103,2M 8S
109,106,1M 38S
109,109,1M 16S
111,109,7S
111,112,0S
End of 4th quarter,NA,0S
