Phoenix,Orlando,time_rem
29-14,15-29,48M 0S
3,0,47M 42S
5,0,46M 48S
5,2,46M 29S
7,2,45M 51S
9,2,45M 29S
9,5,45M 11S
9,7,44M 50S
11,7,44M 30S
14,7,44M 0S
16,7,43M 23S
16,10,43M 8S
16,13,42M 37S
18,13,42M 22S
18,16,41M 38S
20,16,41M 21S
20,18,40M 57S
22,18,40M 47S
23,18,40M 47S
26,18,40M 22S
27,18,40M 0S
29,18,39M 33S
29,19,38M 44S
32,19,38M 8S
32,21,36M 58S
32,24,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,24,35M 21S
34,25,35M 0S
34,26,35M 0S
34,27,35M 0S
34,30,34M 25S
37,30,33M 40S
37,32,33M 23S
39,32,33M 2S
39,34,32M 43S
42,34,32M 23S
42,36,32M 9S
42,38,31M 37S
42,39,31M 9S
44,39,30M 55S
44,41,30M 2S
44,44,29M 28S
46,44,28M 59S
46,47,28M 42S
46,48,28M 17S
46,49,28M 17S
48,49,28M 9S
48,51,27M 52S
50,51,27M 45S
52,51,27M 14S
52,54,26M 52S
52,57,26M 28S
52,59,26M 2S
55,59,25M 42S
57,59,24M 59S
58,59,24M 29S
59,59,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,59,22M 44S
62,59,21M 37S
63,59,21M 37S
63,61,21M 22S
66,61,21M 7S
68,61,20M 34S
70,61,20M 15S
72,61,19M 57S
72,63,19M 44S
72,65,18M 49S
73,65,18M 43S
74,65,18M 43S
74,68,17M 55S
76,68,17M 40S
76,70,17M 21S
77,70,17M 15S
78,70,17M 15S
80,70,16M 51S
80,72,16M 26S
80,73,16M 26S
81,73,16M 14S
82,73,16M 14S
82,75,15M 45S
82,77,15M 8S
82,79,14M 54S
85,79,14M 45S
85,81,14M 22S
87,81,13M 53S
88,81,13M 23S
89,81,13M 23S
89,84,12M 39S
90,84,12M 32S
91,84,12M 32S
91,85,12M 16S
91,86,12M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,88,11M 30S
93,88,10M 47S
93,89,10M 30S
93,92,9M 58S
95,92,9M 43S
95,94,9M 19S
95,95,8M 53S
95,96,8M 53S
97,96,7M 53S
100,96,7M 12S
100,98,6M 51S
100,100,6M 12S
102,100,5M 54S
102,102,5M 17S
102,104,3M 46S
102,105,3M 46S
Jump ball: J. Crowder vs. J. Ennis (E. Fournier gains possession),NA,3M 29S
102,107,2M 58S
104,107,2M 41S
105,107,2M 7S
106,107,2M 7S
106,109,50S
109,109,38S
109,110,27S
110,110,19S
111,110,19S
111,112,6S
End of 4th quarter,NA,0S
