New Orleans,Detroit,time_rem
11-15,8-19,48M 0S
0,0,47M 42S
1,0,47M 19S
3,0,46M 56S
6,0,46M 33S
6,3,45M 52S
8,3,45M 35S
8,5,44M 46S
11,5,44M 30S
11,8,44M 11S
13,8,43M 55S
13,10,43M 37S
14,10,43M 30S
15,10,43M 30S
15,12,43M 13S
17,12,43M 1S
17,14,42M 25S
19,14,41M 42S
22,14,41M 7S
22,16,40M 55S
24,16,40M 43S
24,18,40M 22S
27,18,40M 9S
29,18,39M 51S
29,21,39M 28S
32,21,39M 5S
32,23,38M 52S
32,25,38M 3S
34,25,37M 43S
34,27,37M 26S
36,27,37M 9S
37,27,36M 45S
38,27,36M 45S
40,27,36M 19S
40,30,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
42,30,35M 10S
42,33,34M 51S
44,33,34M 36S
44,35,34M 34S
44,36,34M 34S
46,36,34M 0S
46,38,33M 35S
47,38,33M 19S
48,38,33M 19S
48,40,32M 50S
50,40,31M 38S
50,42,31M 19S
50,44,30M 20S
50,47,29M 51S
52,47,29M 28S
52,48,29M 7S
53,48,28M 40S
54,48,28M 40S
56,48,28M 15S
56,51,27M 58S
56,53,27M 25S
58,53,27M 5S
60,53,26M 28S
60,55,25M 57S
60,57,25M 31S
60,60,24M 54S
60,61,24M 33S
60,62,24M 33S
62,62,24M 22S
62,64,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,66,23M 22S
64,66,23M 7S
64,69,22M 51S
66,69,22M 32S
67,69,22M 32S
67,72,22M 14S
70,72,21M 59S
70,75,20M 23S
70,77,19M 57S
72,77,19M 27S
74,77,18M 49S
74,79,17M 58S
76,79,17M 44S
76,82,17M 27S
77,82,17M 5S
78,82,17M 5S
78,84,16M 45S
81,84,16M 30S
81,85,16M 9S
81,86,16M 9S
81,88,15M 44S
Jump ball: S. Adams vs. J. Grant (J. Hart gains possession),NA,15M 25S
84,88,15M 17S
84,89,15M 3S
84,90,15M 3S
84,93,14M 12S
84,94,13M 47S
84,95,13M 47S
84,96,13M 33S
84,97,13M 33S
86,97,12M 30S
89,97,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,100,11M 47S
91,100,10M 55S
93,100,9M 52S
95,100,9M 27S
95,102,9M 13S
97,102,8M 48S
97,105,8M 15S
97,108,7M 43S
98,108,7M 24S
99,108,7M 24S
100,108,7M 2S
101,108,7M 2S
101,110,6M 44S
102,110,6M 29S
103,110,6M 29S
103,112,5M 36S
105,112,5M 9S
105,114,4M 31S
105,116,4M 8S
107,116,3M 4S
107,119,1M 35S
108,119,1M 29S
109,119,1M 29S
110,119,1M 29S
110,120,1M 17S
110,121,1M 17S
111,121,1M 7S
112,121,1M 7S
112,122,1M 2S
112,123,1M 2S
End of 4th quarter,NA,0S
