Phoenix,LA Clippers,time_rem
2-1,1-2,48M 0S
2,0,47M 45S
2,1,47M 32S
2,2,47M 32S
2,5,46M 38S
2,6,46M 20S
5,6,46M 1S
5,9,45M 35S
8,9,45M 25S
8,12,44M 54S
8,14,44M 7S
10,14,43M 54S
12,14,43M 29S
12,15,43M 8S
12,16,43M 8S
15,16,42M 55S
15,18,42M 38S
17,18,41M 36S
17,20,40M 47S
19,20,40M 8S
19,21,39M 24S
19,22,38M 30S
19,23,38M 30S
21,23,38M 15S
21,25,38M 3S
21,27,37M 41S
21,29,36M 55S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,29,34M 39S
26,29,34M 15S
26,30,33M 19S
26,31,33M 19S
28,31,32M 34S
28,33,32M 11S
29,33,32M 10S
31,33,31M 35S
33,33,30M 58S
35,33,29M 48S
35,35,29M 26S
35,36,28M 57S
36,36,28M 43S
37,36,28M 43S
39,36,27M 43S
39,38,27M 30S
40,38,27M 13S
41,38,27M 13S
41,40,26M 56S
41,42,26M 32S
43,42,26M 2S
46,42,25M 10S
48,42,24M 36S
48,43,24M 32S
48,44,24M 32S
48,46,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,48,23M 40S
50,48,22M 43S
50,50,22M 31S
52,50,22M 11S
53,50,22M 11S
53,52,21M 58S
53,54,21M 36S
53,56,20M 50S
53,58,19M 49S
53,60,19M 15S
56,60,18M 50S
56,62,18M 31S
56,64,17M 48S
56,65,17M 17S
56,66,17M 17S
Jump ball: R. Jackson vs. C. Johnson (I. Zubac gains possession),NA,17M 5S
56,69,16M 53S
56,71,15M 31S
58,71,14M 59S
59,71,14M 37S
60,71,14M 37S
63,71,14M 13S
63,74,13M 58S
64,74,13M 14S
65,74,13M 14S
67,74,12M 25S
67,77,12M 4S
68,77,12M 1S
69,77,12M 1S
69,80,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
69,83,11M 32S
69,84,11M 32S
71,84,11M 8S
71,87,10M 34S
71,88,10M 16S
71,89,10M 16S
73,89,10M 5S
76,89,9M 39S
78,89,8M 55S
81,89,8M 31S
83,89,7M 13S
83,91,6M 36S
83,94,6M 3S
83,95,4M 51S
83,96,4M 51S
86,96,3M 33S
86,99,3M 11S
88,99,2M 57S
88,101,2M 40S
88,104,2M 20S
90,104,2M 2S
90,106,1M 38S
92,106,1M 12S
End of 4th quarter,NA,0S
