New Orleans,Portland,time_rem
17-24,24-16,48M 0S
0,0,47M 46S
3,0,47M 24S
5,0,46M 46S
5,2,46M 32S
8,2,46M 5S
8,4,45M 50S
10,4,44M 58S
10,5,44M 31S
10,8,44M 4S
12,8,43M 43S
12,10,43M 3S
12,11,42M 38S
12,12,42M 38S
15,12,42M 0S
15,14,41M 11S
15,17,40M 36S
15,20,40M 10S
17,20,39M 55S
17,22,39M 28S
20,22,39M 11S
20,25,38M 47S
23,25,38M 32S
23,28,37M 10S
23,31,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,31,35M 4S
26,31,35M 4S
26,33,34M 47S
26,34,33M 49S
28,34,33M 41S
28,36,33M 19S
29,36,32M 56S
30,36,32M 56S
30,39,32M 39S
33,39,32M 25S
33,42,31M 59S
33,43,31M 33S
33,44,31M 33S
33,46,31M 14S
35,46,31M 1S
36,46,29M 42S
36,48,29M 23S
36,49,29M 23S
37,49,29M 12S
38,49,29M 12S
40,49,28M 18S
40,50,28M 8S
41,50,27M 50S
42,50,27M 50S
42,51,26M 40S
42,52,26M 40S
44,52,25M 56S
44,55,25M 40S
46,55,25M 21S
46,57,24M 32S
48,57,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,59,22M 5S
51,59,21M 43S
53,59,21M 3S
53,61,19M 51S
55,61,19M 32S
55,63,18M 47S
55,65,18M 9S
57,65,18M 5S
57,66,17M 9S
57,67,17M 9S
60,67,16M 45S
60,69,16M 23S
60,71,16M 4S
60,72,15M 40S
60,73,15M 40S
62,73,14M 44S
62,75,14M 24S
64,75,14M 1S
65,75,13M 37S
66,75,13M 17S
67,75,13M 17S
69,75,12M 54S
70,75,12M 54S
70,76,12M 27S
70,77,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,80,10M 56S
70,83,10M 27S
72,83,10M 9S
72,86,9M 11S
73,86,8M 7S
74,86,8M 7S
76,86,7M 12S
76,88,6M 42S
79,88,6M 23S
80,88,5M 9S
81,88,5M 9S
83,88,4M 13S
83,91,3M 21S
85,91,3M 4S
85,94,2M 38S
87,94,1M 50S
89,94,1M 20S
89,95,1M 2S
89,96,1M 2S
90,96,51S
90,97,47S
90,98,35S
90,99,35S
93,99,32S
93,101,26S
End of 4th quarter,NA,0S
