Boston,Milwaukee,time_rem
21-23,29-14,48M 0S
0,3,47M 41S
2,3,47M 26S
2,6,47M 14S
4,6,46M 46S
4,9,46M 34S
7,9,46M 20S
9,9,45M 53S
9,11,45M 32S
12,11,45M 19S
Jump ball: G. Antetokounmpo vs. D. Theis (D. DiVincenzo gains possession),NA,44M 41S
12,13,44M 34S
12,15,44M 4S
12,17,43M 12S
15,17,42M 21S
15,19,42M 6S
17,19,41M 54S
18,19,41M 54S
18,22,41M 12S
18,25,40M 37S
20,25,40M 22S
22,25,39M 57S
22,27,39M 42S
22,28,39M 42S
25,28,39M 26S
27,28,38M 26S
27,29,38M 13S
27,30,38M 13S
30,30,37M 34S
30,32,37M 14S
30,33,36M 26S
30,35,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,38,35M 25S
32,38,35M 17S
32,40,34M 57S
34,40,34M 45S
37,40,33M 54S
37,43,33M 37S
39,43,33M 12S
39,46,32M 57S
39,48,32M 40S
42,48,32M 16S
44,48,31M 32S
44,50,30M 49S
44,51,30M 49S
46,51,30M 33S
46,52,30M 15S
46,53,30M 15S
46,55,29M 56S
46,57,29M 36S
49,57,29M 19S
51,57,28M 53S
51,59,28M 37S
51,60,28M 3S
51,63,27M 35S
53,63,26M 9S
53,65,25M 50S
53,68,25M 25S
56,68,25M 6S
59,68,24M 43S
59,70,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,72,23M 35S
59,75,22M 59S
59,76,22M 22S
59,79,21M 51S
61,79,21M 31S
61,81,21M 14S
63,81,21M 1S
63,83,20M 3S
63,84,20M 3S
64,84,19M 31S
65,84,19M 31S
65,87,18M 53S
65,90,18M 28S
67,90,17M 58S
70,90,17M 48S
72,90,17M 27S
72,92,16M 27S
72,93,16M 1S
74,93,15M 46S
76,93,15M 36S
78,93,15M 3S
81,93,14M 11S
81,95,14M 0S
83,95,13M 43S
83,97,13M 28S
83,100,12M 47S
86,100,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,100,11M 5S
88,103,10M 42S
89,103,10M 23S
90,103,10M 23S
90,105,10M 3S
91,105,9M 47S
92,105,9M 47S
94,105,8M 53S
94,107,7M 51S
97,107,7M 29S
97,109,7M 10S
98,109,6M 56S
99,109,6M 56S
99,110,6M 37S
99,111,6M 37S
102,111,6M 22S
102,113,6M 4S
102,115,5M 29S
105,115,5M 10S
107,115,4M 52S
107,118,4M 3S
110,118,3M 25S
110,119,3M 2S
112,119,2M 21S
113,119,2M 21S
116,119,2M 0S
116,121,1M 43S
119,121,1M 32S
End of 4th quarter,NA,0S
