Cleveland,Houston,time_rem
14-21,11-22,48M 0S
0,0,47M 34S
0,3,47M 10S
2,3,46M 50S
2,5,46M 42S
4,5,45M 45S
7,5,45M 21S
Jump ball: J. Patton vs. D. Garland (P. Tucker gains possession),NA,44M 43S
7,6,44M 37S
8,6,44M 9S
9,6,44M 9S
9,8,43M 32S
10,8,43M 16S
11,8,43M 16S
12,8,43M 0S
13,8,43M 0S
13,10,42M 31S
15,10,42M 7S
15,13,41M 52S
17,13,41M 35S
19,13,41M 12S
19,15,40M 55S
22,15,40M 43S
24,15,40M 11S
25,15,39M 38S
26,15,39M 38S
26,16,39M 30S
26,18,38M 51S
26,19,38M 33S
26,20,38M 33S
28,20,38M 10S
28,21,37M 44S
28,22,37M 44S
30,22,37M 31S
30,23,37M 14S
30,24,37M 14S
30,27,36M 43S
31,27,36M 34S
31,29,36M 15S
34,29,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,29,35M 19S
36,29,35M 19S
38,29,34M 57S
39,29,34M 42S
39,32,34M 29S
39,33,33M 31S
39,35,33M 1S
41,35,31M 47S
43,35,31M 17S
43,37,29M 9S
43,40,28M 26S
43,42,28M 1S
45,42,27M 50S
45,44,27M 7S
46,44,26M 52S
47,44,26M 52S
47,46,26M 17S
47,48,25M 50S
48,48,24M 52S
49,48,24M 52S
49,50,24M 34S
51,50,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,50,23M 0S
53,51,22M 48S
53,52,22M 48S
55,52,21M 57S
57,52,21M 29S
59,52,21M 6S
59,55,20M 51S
59,58,20M 19S
61,58,19M 55S
61,60,18M 9S
63,60,17M 50S
63,63,16M 48S
66,63,15M 49S
68,63,14M 36S
68,65,14M 16S
71,65,14M 1S
71,66,13M 37S
71,67,13M 37S
74,67,13M 20S
74,69,12M 3S
74,70,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,72,11M 32S
74,74,11M 6S
76,74,10M 52S
76,75,10M 38S
77,75,10M 27S
77,78,10M 3S
80,78,9M 47S
Jump ball: J. McGee vs. J. Tate (C. Osman gains possession),NA,9M 3S
82,78,8M 20S
85,78,7M 47S
87,78,7M 16S
90,78,6M 37S
90,81,6M 22S
90,82,5M 34S
90,83,5M 34S
93,83,5M 11S
93,85,3M 52S
95,85,3M 36S
95,87,3M 19S
95,89,2M 57S
97,89,2M 37S
99,89,2M 13S
99,90,1M 26S
100,90,1M 9S
101,90,1M 9S
End of 4th quarter,NA,0S
