Portland,Oklahoma City,time_rem
17-10,11-16,48M 0S
0,0,47M 39S
0,3,47M 17S
0,5,46M 19S
2,5,46M 2S
4,5,45M 41S
7,5,45M 16S
7,7,44M 43S
9,7,44M 23S
9,10,44M 3S
11,10,43M 19S
12,10,42M 52S
13,10,42M 52S
15,10,42M 33S
17,10,42M 10S
17,12,41M 45S
17,13,41M 20S
17,14,41M 20S
17,16,40M 40S
17,17,40M 40S
20,17,40M 31S
22,17,39M 44S
24,17,39M 25S
26,17,39M 7S
29,17,38M 34S
29,20,38M 20S
32,20,36M 32S
32,21,36M 19S
34,21,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,21,35M 47S
37,23,35M 28S
39,23,35M 17S
39,26,35M 1S
41,26,34M 7S
41,28,33M 37S
43,28,33M 16S
46,28,32M 51S
46,30,32M 31S
49,30,31M 47S
49,31,31M 29S
49,32,31M 29S
49,34,30M 57S
49,36,30M 6S
52,36,29M 14S
53,36,28M 48S
54,36,28M 48S
55,36,28M 27S
55,37,28M 17S
55,38,28M 17S
58,38,27M 57S
60,38,27M 24S
60,40,27M 12S
60,41,27M 12S
60,42,26M 27S
60,44,25M 51S
60,46,25M 5S
60,47,25M 5S
63,47,24M 36S
63,50,24M 26S
64,50,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,50,23M 45S
66,52,23M 21S
68,52,22M 59S
68,54,22M 13S
71,54,22M 2S
74,54,21M 40S
76,54,20M 25S
76,56,20M 9S
78,56,19M 36S
79,56,18M 46S
80,56,18M 46S
80,58,18M 16S
82,58,18M 2S
82,60,17M 50S
82,62,16M 56S
82,64,16M 0S
82,66,14M 58S
82,67,14M 58S
82,69,14M 45S
85,69,14M 21S
85,72,14M 8S
88,72,13M 48S
88,75,13M 38S
89,75,13M 25S
90,75,13M 25S
90,77,13M 10S
92,77,12M 48S
92,79,12M 34S
93,79,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,81,11M 33S
Jump ball: I. Roby vs. E. Freedom (H. Diallo gains possession),NA,10M 54S
93,82,10M 54S
93,84,10M 0S
93,87,9M 30S
95,87,8M 42S
95,90,8M 34S
95,92,8M 6S
97,92,7M 41S
97,93,7M 31S
97,94,7M 9S
97,95,7M 9S
97,98,5M 46S
97,100,5M 9S
97,101,4M 48S
97,102,4M 48S
100,102,4M 11S
103,102,3M 47S
106,102,3M 15S
109,102,1M 44S
109,103,1M 37S
109,104,1M 37S
112,104,1M 21S
115,104,51S
End of 4th quarter,NA,0S
