Oklahoma City,LA Lakers,time_rem
10-14,20-6,48M 0S
0,0,47M 47S
3,0,47M 12S
6,0,46M 39S
6,2,46M 22S
8,2,46M 0S
8,4,45M 13S
10,4,45M 0S
12,4,44M 0S
13,4,44M 0S
13,5,43M 51S
13,7,43M 34S
15,7,43M 15S
15,10,42M 42S
17,10,42M 25S
17,11,41M 52S
19,11,41M 33S
21,11,41M 4S
23,11,40M 28S
26,11,39M 59S
28,11,39M 30S
28,13,39M 8S
30,13,38M 56S
30,14,37M 59S
30,15,37M 59S
32,15,37M 50S
32,17,37M 38S
32,19,37M 12S
32,20,36M 38S
32,21,36M 38S
35,21,36M 28S
36,21,36M 4S
37,21,36M 4S
37,22,36M 0S
37,23,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,23,35M 8S
43,23,34M 46S
43,25,34M 24S
43,27,33M 45S
45,27,33M 31S
45,29,33M 19S
47,29,32M 56S
47,31,32M 30S
49,31,32M 6S
49,32,31M 55S
49,33,31M 55S
51,33,31M 43S
51,35,31M 30S
51,37,30M 35S
51,39,29M 53S
51,40,29M 6S
51,41,29M 6S
52,41,28M 48S
53,41,28M 48S
53,43,28M 33S
55,43,28M 15S
57,43,27M 59S
59,43,27M 20S
59,46,27M 0S
61,46,26M 32S
61,49,26M 18S
63,49,26M 6S
63,51,25M 44S
63,52,25M 44S
63,55,25M 28S
63,56,24M 24S
63,57,24M 24S
64,57,24M 3S
65,57,24M 3S
67,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,59,23M 34S
67,61,22M 43S
67,63,21M 47S
69,63,21M 22S
69,65,21M 2S
71,65,20M 9S
73,65,18M 53S
73,67,18M 40S
73,68,18M 40S
75,68,18M 28S
75,71,17M 19S
78,71,16M 25S
78,73,15M 20S
78,75,14M 37S
80,75,14M 27S
80,78,14M 11S
82,78,13M 55S
84,78,12M 54S
84,80,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,80,11M 46S
86,82,11M 1S
88,82,10M 41S
88,84,10M 26S
88,86,9M 12S
90,86,8M 1S
90,88,7M 47S
92,88,7M 34S
92,90,6M 35S
94,90,6M 20S
94,93,6M 3S
94,95,4M 59S
94,98,4M 19S
96,98,3M 39S
98,98,2M 53S
98,100,2M 19S
100,100,2M 1S
100,101,1M 50S
100,102,1M 50S
102,102,49S
103,102,49S
104,102,24S
105,102,24S
105,105,19S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: D. Bazley vs. K. Kuzma (L. Dort gains possession),NA,5M 0S
106,105,4M 16S
107,105,4M 16S
107,106,3M 36S
107,107,3M 36S
107,109,3M 10S
109,109,2M 42S
109,111,1M 45S
111,111,1M 38S
111,114,41S
113,114,30S
End of 1st overtime,NA,0S
