Minnesota,Sacramento,time_rem
16-43,23-35,48M 0S
Jump ball: K. Towns vs. H. Whiteside (J. McDaniels gains possession),NA,48M 0S
0,3,47M 20S
3,3,47M 8S
3,5,46M 56S
6,5,46M 26S
6,7,45M 41S
9,7,45M 26S
11,7,45M 0S
11,8,44M 46S
11,10,43M 42S
11,12,43M 15S
11,13,43M 15S
13,13,43M 5S
15,13,42M 56S
15,14,42M 43S
15,15,42M 43S
17,15,42M 13S
17,18,41M 52S
17,20,41M 19S
20,20,40M 40S
20,23,40M 27S
23,23,40M 20S
26,23,39M 53S
26,26,39M 42S
26,28,39M 21S
28,28,39M 12S
28,31,38M 41S
31,31,38M 30S
31,34,38M 19S
31,37,37M 40S
34,37,37M 23S
34,39,37M 8S
36,39,37M 0S
36,41,36M 50S
36,43,36M 25S
39,43,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,46,35M 47S
41,46,35M 27S
41,49,35M 17S
43,49,34M 56S
46,49,34M 36S
47,49,34M 5S
48,49,34M 5S
50,49,33M 41S
51,49,33M 41S
53,49,33M 9S
53,51,32M 44S
54,51,32M 30S
54,54,32M 15S
56,54,31M 31S
56,55,31M 25S
57,55,30M 52S
58,55,30M 52S
60,55,29M 54S
60,57,29M 15S
62,57,29M 5S
64,57,28M 42S
66,57,28M 10S
66,59,28M 1S
67,59,27M 52S
68,59,27M 52S
68,62,27M 36S
68,64,27M 17S
71,64,26M 58S
71,65,26M 43S
71,66,26M 43S
71,68,25M 49S
71,69,25M 4S
71,70,25M 4S
71,72,24M 34S
74,72,24M 16S
74,73,24M 3S
74,74,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,77,22M 51S
76,77,22M 16S
76,78,21M 26S
76,79,21M 26S
78,79,21M 14S
78,81,20M 23S
79,81,20M 22S
81,81,19M 58S
81,84,19M 44S
84,84,19M 30S
86,84,19M 10S
88,84,18M 47S
88,86,18M 26S
90,86,17M 41S
90,88,17M 22S
93,88,17M 11S
93,90,15M 37S
93,92,15M 5S
93,94,14M 33S
95,94,14M 16S
95,96,13M 47S
95,99,13M 7S
97,99,12M 54S
97,102,12M 42S
99,102,12M 22S
99,103,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,105,11M 42S
101,105,11M 30S
102,105,11M 30S
104,105,10M 51S
107,105,10M 27S
107,107,9M 24S
109,107,9M 5S
112,107,8M 15S
112,110,7M 59S
112,113,7M 19S
114,113,6M 25S
114,115,6M 5S
117,115,5M 39S
118,115,5M 23S
119,115,5M 23S
121,115,4M 38S
123,115,4M 5S
126,115,3M 41S
128,115,2M 31S
128,118,2M 21S
130,118,2M 0S
131,118,2M 0S
132,118,1M 0S
132,120,46S
134,120,19S
End of 4th quarter,NA,0S
