Denver,LA Lakers,time_rem
43-22,37-28,48M 0S
0,0,47M 38S
2,0,47M 24S
4,0,46M 46S
4,2,46M 37S
4,5,45M 33S
4,8,45M 13S
4,10,44M 52S
5,10,44M 2S
5,12,43M 46S
8,12,43M 25S
8,14,43M 9S
10,14,42M 55S
12,14,42M 31S
14,14,41M 57S
14,16,40M 42S
17,16,40M 30S
20,16,39M 1S
20,18,38M 40S
22,18,37M 25S
22,20,36M 44S
24,20,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,20,34M 56S
26,23,34M 11S
28,23,33M 27S
28,25,33M 4S
28,26,33M 4S
30,26,32M 50S
32,26,32M 10S
32,28,31M 4S
34,28,30M 47S
34,30,30M 24S
34,31,30M 24S
34,33,28M 39S
37,33,28M 25S
37,34,27M 42S
Jump ball: N. Jokić vs. A. Drummond (A. Caruso gains possession),NA,27M 24S
39,34,26M 52S
39,37,26M 45S
40,37,26M 22S
40,39,26M 10S
40,40,25M 48S
40,41,25M 48S
42,41,25M 30S
42,44,24M 46S
42,45,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,45,23M 39S
46,45,22M 18S
46,48,21M 31S
48,48,21M 18S
50,48,21M 1S
52,48,20M 26S
52,51,20M 7S
54,51,19M 45S
54,52,19M 38S
54,54,18M 50S
54,55,18M 19S
55,55,18M 3S
56,55,18M 3S
56,58,17M 22S
56,59,16M 53S
56,60,16M 33S
56,61,16M 33S
58,61,15M 54S
58,64,15M 44S
59,64,15M 28S
62,64,14M 53S
63,64,13M 50S
63,65,13M 33S
63,67,12M 54S
65,67,12M 38S
65,70,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,72,11M 44S
65,74,10M 31S
67,74,10M 12S
67,77,10M 3S
67,80,9M 31S
69,80,8M 44S
69,83,8M 23S
71,83,7M 55S
73,83,7M 24S
73,85,6M 59S
73,86,6M 9S
73,87,6M 9S
74,87,5M 56S
76,87,5M 30S
79,87,5M 3S
79,88,4M 39S
79,89,4M 39S
81,89,4M 25S
83,89,3M 22S
84,89,2M 56S
85,89,2M 56S
87,89,1M 37S
87,91,41S
88,91,38S
89,91,38S
89,93,15S
End of 4th quarter,NA,0S
