Toronto,Utah,time_rem
26-38,46-18,48M 0S
0,3,47M 39S
2,3,47M 20S
5,3,46M 34S
5,6,46M 16S
7,6,45M 49S
10,6,45M 19S
10,9,45M 7S
12,9,44M 18S
12,11,43M 54S
14,11,43M 15S
16,11,42M 57S
16,13,42M 43S
16,16,42M 15S
16,18,41M 51S
16,20,41M 11S
19,20,41M 4S
19,22,40M 41S
22,22,40M 31S
25,22,39M 32S
25,25,39M 5S
26,25,38M 45S
27,25,38M 45S
27,27,38M 35S
29,27,38M 19S
31,27,37M 25S
31,29,36M 1S
32,29,36M 0S
33,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,30,35M 38S
33,31,35M 38S
35,31,35M 21S
37,31,34M 57S
37,33,34M 41S
39,33,33M 54S
41,33,33M 32S
41,36,32M 53S
43,36,32M 26S
43,39,32M 16S
45,39,30M 58S
45,40,30M 42S
45,41,30M 42S
45,42,30M 42S
48,42,30M 24S
48,44,30M 3S
50,44,29M 54S
50,45,29M 43S
50,46,29M 43S
53,46,29M 32S
53,47,28M 32S
53,48,28M 32S
54,48,27M 57S
55,48,27M 57S
57,48,27M 26S
57,49,27M 3S
57,50,27M 3S
60,50,26M 51S
60,53,25M 40S
62,53,24M 27S
62,56,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,56,23M 44S
64,58,23M 0S
64,60,22M 38S
64,63,22M 19S
67,63,21M 51S
67,66,21M 38S
67,68,20M 31S
69,68,19M 47S
71,68,19M 25S
74,68,18M 53S
74,71,18M 7S
74,73,17M 29S
77,73,17M 3S
77,75,16M 49S
77,77,16M 24S
79,77,16M 10S
79,79,15M 51S
79,80,14M 48S
81,80,14M 37S
83,80,14M 9S
85,80,13M 44S
85,83,13M 30S
87,83,12M 44S
87,85,12M 4S
89,85,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,85,11M 42S
91,87,11M 28S
91,90,10M 13S
93,90,8M 11S
93,91,7M 55S
93,92,7M 55S
93,95,7M 24S
93,98,6M 12S
96,98,5M 29S
96,101,5M 16S
98,101,4M 4S
98,103,3M 48S
100,103,41S
100,105,24S
102,105,20S
102,106,9S
End of 4th quarter,NA,0S
