Denver,Phoenix,time_rem
9-7,8-7,48M 0S
0,0,48M 0S
0,2,47M 43S
0,4,47M 11S
2,4,46M 34S
5,4,46M 6S
5,7,45M 54S
7,7,45M 15S
7,10,45M 3S
7,12,44M 24S
7,14,44M 2S
7,15,43M 19S
9,15,42M 39S
11,15,41M 56S
11,17,41M 43S
11,18,41M 43S
14,18,41M 29S
16,18,40M 49S
17,18,40M 13S
19,18,39M 32S
20,18,39M 32S
20,19,39M 21S
20,20,39M 21S
22,20,39M 2S
23,20,39M 2S
26,20,38M 18S
26,23,38M 0S
26,25,37M 25S
26,28,36M 50S
28,28,36M 26S
28,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,33,35M 9S
31,33,34M 55S
31,36,34M 26S
33,36,34M 13S
34,36,34M 13S
36,36,33M 49S
37,36,33M 49S
37,37,33M 28S
37,38,33M 28S
37,39,33M 28S
40,39,32M 54S
40,41,32M 41S
43,41,32M 31S
45,41,32M 0S
46,41,32M 0S
46,44,31M 32S
46,45,31M 10S
46,46,31M 10S
46,48,30M 35S
47,48,30M 6S
48,48,30M 6S
48,51,28M 19S
49,51,28M 6S
52,51,27M 11S
52,54,26M 55S
52,57,26M 26S
54,57,25M 47S
54,59,25M 29S
56,59,25M 10S
56,61,24M 59S
58,61,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,63,19M 23S
58,66,18M 34S
61,66,18M 9S
61,69,17M 26S
63,69,16M 36S
65,69,16M 10S
65,72,15M 48S
68,72,15M 2S
69,72,14M 23S
70,72,14M 23S
70,74,13M 15S
73,74,12M 44S
73,77,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,77,11M 44S
77,77,11M 8S
78,77,11M 8S
78,79,10M 43S
80,79,10M 30S
83,79,9M 50S
83,81,9M 32S
85,81,9M 10S
85,83,8M 52S
86,83,8M 34S
86,84,7M 26S
86,85,7M 26S
86,87,6M 52S
89,87,6M 30S
91,87,5M 34S
91,90,4M 2S
91,92,3M 21S
91,94,2M 8S
93,94,1M 50S
94,94,1M 24S
95,94,1M 24S
95,95,49S
95,96,49S
95,98,12S
98,98,0S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: N. Jokić vs. D. Ayton (J. Murray gains possession),NA,5M 0S
99,98,4M 50S
99,100,3M 7S
100,100,2M 41S
101,100,2M 41S
101,102,2M 26S
103,102,28S
104,102,28S
104,103,14S
105,103,8S
106,103,8S
106,106,1S
End of 1st overtime,NA,0S
Start of 2nd overtime,NA,5M 0S
Jump ball: N. Jokić vs. F. Kaminsky (M. Morris gains possession),NA,5M 0S
108,106,4M 43S
111,106,4M 7S
111,108,3M 47S
113,108,3M 19S
115,108,2M 40S
115,110,2M 18S
117,110,1M 13S
118,110,13S
119,110,13S
119,112,8S
120,112,4S
End of 2nd overtime,NA,0S
