Orlando,Phoenix,time_rem
10-18,17-9,48M 0S
0,0,47M 33S
0,2,47M 4S
0,4,46M 41S
0,6,45M 8S
0,8,44M 45S
2,8,44M 31S
2,10,43M 59S
2,12,42M 54S
2,14,42M 13S
5,14,41M 57S
5,16,41M 33S
8,16,40M 33S
8,18,40M 14S
8,21,39M 21S
8,23,39M 9S
9,23,38M 51S
11,23,38M 44S
11,26,38M 22S
11,28,37M 54S
13,28,36M 50S
16,28,36M 18S
Jump ball: C. Johnson vs. C. Okeke (T. Ross gains possession),NA,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,28,35M 44S
18,29,34M 54S
18,30,34M 54S
19,30,34M 39S
19,33,33M 35S
19,36,33M 8S
20,36,32M 46S
21,36,32M 46S
21,38,32M 7S
21,39,32M 7S
21,42,30M 12S
Jump ball: D. Ayton vs. N. Vučević (M. Bridges gains possession),NA,29M 35S
21,44,29M 21S
22,44,29M 11S
25,44,28M 10S
27,44,27M 44S
29,44,27M 11S
29,46,27M 0S
31,46,26M 41S
31,47,25M 54S
33,47,25M 36S
33,49,24M 52S
33,52,24M 33S
34,52,24M 20S
35,52,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
35,54,23M 31S
35,56,22M 39S
35,58,22M 9S
37,58,21M 55S
37,59,21M 40S
37,60,21M 40S
37,61,21M 40S
39,61,21M 32S
40,61,21M 32S
41,61,21M 9S
42,61,21M 9S
45,61,20M 40S
45,63,20M 22S
47,63,20M 9S
47,65,19M 45S
47,66,18M 32S
47,67,18M 32S
49,67,18M 19S
50,67,17M 41S
51,67,17M 41S
51,69,17M 28S
53,69,17M 8S
53,72,16M 56S
55,72,16M 43S
55,75,16M 22S
55,77,15M 55S
55,80,15M 37S
58,80,14M 19S
58,81,13M 35S
58,82,13M 35S
60,82,13M 20S
60,83,12M 33S
60,84,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
60,87,11M 13S
62,87,10M 53S
62,89,10M 32S
64,89,10M 15S
66,89,9M 44S
66,92,9M 32S
68,92,9M 0S
69,92,9M 0S
69,94,8M 36S
71,94,7M 38S
72,94,7M 38S
73,94,7M 11S
74,94,7M 11S
76,94,6M 56S
78,94,6M 23S
78,96,5M 34S
80,96,5M 5S
82,96,4M 39S
82,98,4M 26S
83,98,4M 0S
83,101,3M 25S
85,101,3M 5S
85,102,2M 49S
85,103,2M 49S
87,103,1M 55S
87,105,1M 39S
88,105,1M 36S
88,107,1M 26S
90,107,51S
90,109,17S
End of 4th quarter,NA,0S
