Toronto,New York,time_rem
25-35,34-27,48M 0S
0,0,47M 43S
0,2,47M 18S
3,2,46M 56S
3,4,46M 40S
5,4,46M 0S
5,7,45M 44S
5,10,45M 19S
7,10,44M 26S
7,12,43M 29S
8,12,43M 15S
10,12,42M 53S
10,13,42M 35S
13,13,42M 12S
15,13,41M 43S
18,13,40M 44S
18,16,40M 25S
18,19,39M 55S
20,19,39M 39S
20,21,39M 18S
20,22,39M 18S
22,22,39M 6S
22,24,38M 18S
22,26,37M 32S
25,26,37M 21S
25,28,37M 1S
26,28,36M 48S
26,30,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,30,35M 42S
28,33,35M 15S
28,36,34M 34S
30,36,34M 15S
30,38,34M 3S
32,38,33M 48S
32,39,32M 30S
32,40,32M 30S
35,40,32M 11S
35,42,31M 58S
36,42,31M 35S
37,42,31M 35S
37,44,31M 10S
40,44,30M 30S
40,46,30M 10S
41,46,29M 48S
42,46,29M 48S
44,46,29M 25S
44,49,29M 0S
44,52,28M 33S
46,52,28M 18S
46,55,27M 57S
48,55,27M 9S
48,57,26M 48S
51,57,26M 35S
54,57,26M 12S
54,59,25M 58S
54,62,24M 43S
56,62,24M 32S
56,64,24M 22S
59,64,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,64,23M 35S
63,64,23M 9S
63,67,22M 18S
63,69,21M 19S
66,69,20M 21S
67,69,19M 58S
68,69,19M 58S
69,69,19M 43S
70,69,19M 43S
70,71,19M 21S
73,71,19M 1S
73,73,18M 43S
76,73,18M 22S
76,74,18M 3S
76,75,18M 3S
76,76,17M 42S
78,76,17M 23S
78,79,16M 59S
80,79,16M 20S
80,81,15M 50S
80,82,14M 35S
80,83,14M 35S
80,85,14M 4S
83,85,13M 49S
83,86,13M 32S
83,88,12M 55S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,91,11M 39S
83,93,11M 0S
83,94,11M 0S
83,97,10M 21S
86,97,9M 59S
86,99,9M 38S
86,102,9M 14S
87,102,9M 7S
88,102,9M 7S
90,102,8M 30S
90,103,8M 8S
90,104,8M 8S
90,105,8M 8S
92,105,6M 21S
95,105,5M 50S
95,107,5M 32S
96,107,5M 24S
97,107,5M 24S
97,108,4M 20S
100,108,3M 57S
100,110,3M 33S
103,110,3M 18S
103,111,2M 29S
103,112,2M 29S
103,115,1M 24S
103,116,1M 24S
103,117,1M 4S
103,118,1M 4S
103,120,49S
End of 4th quarter,NA,0S
