Philadelphia,Detroit,time_rem
12-6,4-13,48M 0S
0,3,47M 46S
2,3,47M 23S
2,6,46M 44S
2,7,46M 18S
2,8,46M 18S
2,11,45M 54S
4,11,45M 43S
4,13,45M 27S
4,15,44M 54S
4,17,44M 20S
7,17,44M 7S
10,17,43M 32S
10,19,42M 33S
10,21,42M 14S
10,24,41M 28S
11,24,41M 15S
11,26,40M 43S
13,26,39M 55S
15,26,39M 37S
15,28,38M 49S
17,28,38M 31S
17,30,38M 4S
19,30,37M 39S
19,31,37M 23S
19,32,37M 23S
21,32,36M 59S
21,33,36M 51S
21,34,36M 51S
23,34,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,34,35M 29S
25,34,35M 29S
27,34,34M 34S
27,36,34M 0S
29,36,33M 45S
31,36,33M 32S
31,38,33M 10S
33,38,32M 15S
33,39,31M 32S
33,41,31M 14S
35,41,30M 46S
35,43,30M 31S
38,43,30M 16S
38,44,30M 7S
38,45,30M 7S
38,46,29M 4S
38,47,29M 4S
38,48,28M 13S
38,49,28M 13S
38,50,27M 58S
38,51,27M 58S
40,51,27M 46S
40,54,27M 28S
40,57,27M 8S
41,57,26M 54S
42,57,26M 54S
45,57,26M 14S
45,58,25M 55S
45,59,25M 55S
45,62,24M 46S
47,62,24M 33S
49,62,24M 4S
50,62,24M 4S
50,63,24M 0S
50,64,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,67,23M 23S
52,67,22M 37S
54,67,22M 19S
55,67,22M 19S
58,67,21M 53S
58,69,20M 23S
59,69,20M 8S
59,70,19M 47S
61,70,19M 28S
61,73,19M 12S
61,76,18M 48S
63,76,18M 13S
65,76,17M 34S
66,76,16M 27S
67,76,16M 27S
69,76,15M 56S
69,79,15M 45S
70,79,15M 29S
71,79,15M 29S
71,80,14M 46S
73,80,14M 30S
73,82,13M 28S
73,83,13M 28S
73,84,13M 8S
73,87,12M 34S
75,87,12M 17S
75,88,12M 5S
75,89,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,89,11M 31S
80,89,10M 56S
80,92,10M 9S
80,93,9M 42S
80,94,9M 42S
82,94,9M 36S
83,94,9M 36S
83,96,9M 23S
83,99,8M 53S
85,99,8M 31S
88,99,7M 6S
88,102,6M 20S
90,102,6M 1S
90,104,5M 37S
90,105,4M 50S
90,106,4M 50S
92,106,4M 39S
92,107,4M 22S
94,107,4M 11S
94,109,3M 46S
96,109,3M 29S
96,111,3M 9S
96,114,2M 36S
96,117,2M 5S
97,117,56S
98,117,56S
98,118,45S
98,119,45S
101,119,32S
104,119,7S
End of 4th quarter,NA,0S
