Oklahoma City,Chicago,time_rem
17-23,18-20,48M 0S
0,0,47M 44S
0,3,47M 39S
2,3,47M 7S
2,6,46M 57S
2,8,46M 24S
4,8,46M 8S
4,11,45M 52S
6,11,45M 38S
6,13,45M 19S
6,15,44M 57S
8,15,44M 43S
9,15,44M 43S
9,16,44M 36S
11,16,44M 24S
11,18,44M 12S
11,21,43M 50S
14,21,43M 25S
14,23,43M 9S
14,24,43M 9S
16,24,42M 39S
17,24,42M 39S
17,26,42M 25S
19,26,41M 57S
19,29,41M 34S
19,31,41M 5S
19,34,40M 8S
21,34,39M 4S
21,36,38M 50S
23,36,38M 36S
23,38,38M 16S
23,40,37M 59S
26,40,37M 50S
28,40,36M 55S
28,41,36M 30S
28,42,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,44,35M 45S
28,46,35M 19S
30,46,35M 9S
32,46,34M 20S
32,48,33M 58S
35,48,33M 37S
35,49,33M 23S
38,49,32M 51S
40,49,32M 30S
42,49,32M 7S
43,49,31M 43S
44,49,31M 43S
46,49,30M 52S
47,49,30M 46S
50,49,30M 32S
50,51,30M 8S
52,51,29M 50S
52,52,29M 6S
52,53,29M 6S
53,53,29M 0S
54,53,29M 0S
54,55,28M 45S
54,57,28M 28S
56,57,27M 53S
56,59,27M 15S
56,60,27M 2S
56,61,27M 2S
56,63,26M 31S
58,63,26M 19S
58,66,26M 3S
58,69,25M 27S
59,69,25M 16S
59,71,24M 36S
61,71,24M 28S
63,71,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,71,23M 26S
65,73,23M 5S
65,75,22M 3S
65,77,21M 24S
Jump ball: W. Carter vs. M. Brown (T. Satoranský gains possession),NA,20M 48S
65,79,20M 37S
65,80,20M 16S
67,80,19M 58S
69,80,19M 22S
69,83,19M 12S
69,86,18M 43S
69,89,17M 49S
71,89,16M 54S
71,91,16M 47S
71,92,16M 47S
74,92,15M 40S
74,95,15M 18S
77,95,15M 0S
77,97,14M 27S
77,98,13M 54S
79,98,13M 40S
79,100,13M 20S
79,102,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,104,11M 21S
81,104,11M 12S
81,106,10M 54S
83,106,10M 37S
83,108,10M 1S
83,109,10M 1S
84,109,9M 53S
85,109,9M 53S
86,109,9M 53S
86,111,9M 30S
88,111,8M 3S
88,113,7M 41S
90,113,7M 19S
90,115,6M 54S
90,117,6M 9S
92,117,5M 43S
94,117,4M 14S
94,118,3M 59S
94,119,3M 59S
96,119,3M 37S
96,121,3M 28S
98,121,1M 50S
100,121,1M 1S
100,123,41S
102,123,31S
End of 4th quarter,NA,0S
