Utah,Charlotte,time_rem
18-5,10-13,48M 0S
0,0,47M 43S
0,2,47M 24S
2,2,47M 8S
2,4,46M 48S
2,6,46M 13S
2,7,45M 52S
2,8,45M 52S
2,11,45M 27S
5,11,45M 5S
7,11,44M 35S
7,14,44M 13S
9,14,43M 57S
9,16,43M 14S
9,19,42M 32S
12,19,41M 34S
12,22,41M 23S
12,23,40M 52S
12,24,40M 52S
14,24,40M 35S
16,24,40M 3S
16,26,39M 27S
19,26,39M 12S
20,26,37M 54S
22,26,37M 26S
23,26,37M 26S
23,27,37M 6S
23,28,37M 6S
25,28,36M 56S
25,30,36M 38S
28,30,36M 30S
28,32,36M 7S
30,32,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,32,35M 41S
34,32,35M 3S
37,32,34M 31S
37,35,34M 11S
39,35,33M 55S
40,35,33M 55S
43,35,32M 25S
46,35,32M 0S
46,38,31M 43S
46,40,31M 35S
48,40,31M 12S
48,42,30M 51S
48,44,29M 56S
50,44,29M 36S
50,47,29M 22S
Jump ball: C. Martin vs. J. Clarkson (L. Ball gains possession),NA,29M 13S
53,47,28M 55S
56,47,28M 37S
56,49,28M 21S
59,49,28M 9S
62,49,27M 44S
65,49,26M 20S
67,49,25M 50S
67,51,25M 22S
67,53,24M 48S
67,54,24M 27S
69,54,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,54,23M 31S
74,54,23M 0S
74,56,22M 47S
74,58,22M 14S
74,60,21M 31S
76,60,21M 22S
78,60,21M 0S
78,62,20M 48S
80,62,20M 8S
81,62,19M 51S
82,62,19M 51S
85,62,19M 20S
85,64,19M 5S
85,65,18M 19S
85,66,18M 19S
85,68,17M 50S
87,68,17M 26S
87,70,17M 15S
90,70,17M 8S
93,70,16M 51S
93,72,16M 23S
96,72,16M 8S
96,74,15M 47S
99,74,15M 38S
99,76,15M 19S
99,78,14M 30S
100,78,14M 16S
101,78,14M 16S
101,80,14M 2S
104,80,13M 49S
104,83,13M 41S
104,85,12M 56S
104,88,12M 38S
104,90,12M 28S
105,90,12M 20S
106,90,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
107,90,11M 23S
107,92,11M 6S
107,94,10M 28S
107,96,10M 3S
107,98,8M 58S
110,98,8M 40S
110,101,8M 29S
112,101,8M 9S
112,103,7M 56S
115,103,7M 15S
118,103,6M 30S
118,105,6M 17S
118,107,5M 41S
119,107,5M 23S
120,107,5M 23S
120,110,5M 11S
123,110,4M 28S
124,110,4M 3S
125,110,4M 3S
125,112,3M 53S
125,114,3M 38S
125,115,3M 38S
125,116,3M 17S
128,116,2M 57S
128,117,2M 40S
128,119,2M 22S
130,119,2M 3S
133,119,1M 18S
136,119,54S
137,119,48S
138,119,48S
138,120,7S
138,121,7S
End of 4th quarter,NA,0S
