Cleveland,Dallas,time_rem
21-46,39-28,48M 0S
0,0,47M 43S
2,0,47M 15S
2,2,46M 33S
2,4,46M 1S
2,7,45M 32S
3,7,45M 19S
4,7,45M 19S
4,9,45M 0S
4,11,44M 37S
4,12,44M 1S
4,13,44M 1S
6,13,43M 40S
8,13,42M 53S
8,15,42M 39S
11,15,42M 22S
11,16,42M 2S
11,17,42M 2S
11,20,40M 49S
13,20,40M 4S
13,22,39M 29S
13,24,39M 2S
13,25,37M 48S
15,25,37M 30S
15,27,37M 12S
15,28,37M 12S
15,29,36M 35S
15,30,36M 35S
17,30,36M 30S
18,30,36M 2S
19,30,36M 2S
19,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,34,34M 39S
19,35,34M 39S
21,35,34M 14S
23,35,33M 59S
23,37,33M 41S
23,40,33M 7S
25,40,32M 23S
25,41,32M 12S
25,42,32M 12S
27,42,31M 56S
27,45,31M 14S
27,47,30M 34S
27,49,29M 59S
30,49,29M 42S
30,52,29M 17S
30,53,29M 17S
30,55,28M 46S
32,55,28M 11S
32,57,27M 52S
33,57,27M 42S
34,57,27M 31S
34,59,27M 9S
36,59,26M 49S
37,59,25M 49S
37,61,24M 3S
37,62,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
37,64,23M 3S
38,64,22M 14S
39,64,22M 14S
39,66,21M 34S
39,68,20M 57S
41,68,20M 41S
42,68,20M 41S
42,71,20M 30S
44,71,20M 14S
44,73,19M 51S
46,73,19M 28S
48,73,18M 49S
48,75,18M 27S
50,75,18M 2S
53,75,17M 0S
53,78,16M 35S
56,78,16M 17S
58,78,15M 48S
59,78,15M 12S
59,80,14M 3S
59,82,13M 36S
59,83,13M 5S
59,84,13M 5S
60,84,13M 0S
60,86,12M 40S
63,86,12M 31S
65,86,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,88,11M 37S
66,88,10M 56S
67,88,10M 56S
67,90,10M 45S
69,90,9M 58S
69,92,9M 46S
71,92,8M 59S
73,92,8M 23S
75,92,7M 53S
76,92,7M 53S
76,94,7M 7S
78,94,6M 51S
79,94,6M 12S
80,94,6M 12S
80,97,5M 49S
81,97,5M 31S
82,97,5M 31S
82,100,5M 15S
83,100,5M 2S
85,100,4M 15S
85,102,3M 53S
85,104,3M 20S
88,104,3M 7S
88,105,2M 47S
90,105,2M 16S
90,106,1M 57S
90,108,1M 33S
90,110,29S
End of 4th quarter,NA,0S
