New York,Brooklyn,time_rem
25-26,35-16,48M 0S
0,0,47M 45S
2,0,47M 25S
2,2,47M 9S
4,2,46M 50S
4,4,46M 35S
4,5,46M 35S
5,5,45M 53S
5,8,45M 35S
6,8,45M 17S
7,8,45M 17S
7,10,44M 57S
9,10,44M 30S
10,10,44M 3S
11,10,44M 3S
12,10,44M 3S
12,13,43M 46S
14,13,43M 29S
14,15,42M 49S
14,17,41M 51S
17,17,41M 34S
17,19,41M 22S
19,19,41M 9S
20,19,41M 9S
20,20,40M 58S
20,21,40M 58S
23,21,40M 43S
23,23,40M 24S
25,23,40M 13S
25,26,39M 52S
27,26,39M 21S
27,29,38M 25S
27,30,37M 46S
27,31,37M 46S
29,31,37M 31S
32,31,36M 55S
34,31,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,31,34M 47S
37,33,34M 16S
39,33,34M 0S
41,33,33M 27S
41,36,33M 2S
43,36,32M 40S
43,38,32M 23S
45,38,32M 11S
45,40,31M 44S
45,42,30M 57S
47,42,30M 36S
48,42,30M 36S
48,44,30M 19S
48,46,29M 46S
50,46,29M 27S
50,48,28M 25S
50,50,27M 41S
50,51,27M 17S
53,51,27M 2S
56,51,26M 34S
56,53,26M 17S
58,53,26M 2S
59,53,25M 47S
61,53,25M 30S
64,53,25M 15S
67,53,24M 55S
67,55,24M 40S
67,57,24M 9S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,57,23M 33S
70,58,22M 27S
70,59,22M 27S
70,62,22M 8S
73,62,21M 54S
74,62,21M 32S
75,62,21M 32S
75,64,20M 54S
77,64,20M 40S
77,65,20M 27S
77,66,20M 27S
77,68,19M 44S
77,70,19M 18S
79,70,19M 5S
79,72,18M 25S
81,72,18M 8S
82,72,17M 25S
83,72,17M 25S
83,75,17M 7S
86,75,16M 37S
86,77,16M 23S
86,79,15M 48S
86,80,15M 15S
86,82,14M 54S
88,82,14M 14S
88,85,13M 32S
88,87,12M 59S
88,88,12M 26S
88,89,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,91,11M 25S
91,91,11M 0S
91,93,10M 35S
91,95,9M 52S
92,95,9M 40S
93,95,9M 17S
94,95,9M 17S
94,97,8M 47S
94,100,8M 7S
94,102,6M 58S
96,102,6M 38S
99,102,5M 51S
101,102,4M 42S
101,103,4M 26S
101,104,4M 26S
Jump ball: L. Aldridge vs. N. Noel (K. Irving gains possession),NA,4M 2S
101,106,3M 51S
101,107,3M 51S
103,107,3M 28S
103,108,3M 11S
103,109,3M 11S
105,109,2M 48S
107,109,1M 12S
107,112,1M 0S
108,112,55S
109,112,55S
112,112,26S
112,113,3S
112,114,3S
End of 4th quarter,NA,0S
