New York,Minnesota,time_rem
24-24,12-36,48M 0S
0,0,47M 39S
2,0,47M 18S
2,2,46M 56S
2,4,46M 5S
4,4,45M 54S
6,4,45M 10S
6,7,44M 53S
9,7,44M 11S
9,10,43M 52S
11,10,43M 34S
12,10,43M 34S
12,11,43M 7S
12,12,43M 7S
14,12,42M 2S
16,12,41M 48S
16,14,41M 26S
18,14,41M 7S
20,14,40M 42S
20,16,40M 8S
20,18,39M 4S
21,18,38M 42S
24,18,37M 43S
24,19,36M 48S
26,19,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,19,35M 41S
28,21,35M 24S
31,21,34M 52S
34,21,33M 48S
36,21,32M 49S
39,21,32M 11S
39,24,31M 53S
39,27,31M 5S
42,27,30M 18S
42,30,30M 2S
43,30,29M 47S
43,33,29M 30S
46,33,29M 3S
46,34,28M 54S
46,35,28M 54S
46,38,28M 28S
48,38,27M 34S
48,40,27M 9S
48,42,26M 53S
49,42,26M 38S
49,45,26M 21S
51,45,26M 3S
51,47,25M 43S
51,50,25M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,50,23M 45S
54,53,23M 21S
56,53,23M 0S
59,53,22M 0S
59,56,21M 50S
59,58,21M 4S
62,58,20M 53S
64,58,20M 25S
65,58,19M 54S
66,58,19M 54S
66,59,19M 31S
66,60,19M 31S
66,62,18M 36S
68,62,18M 21S
70,62,17M 7S
71,62,16M 54S
72,62,16M 54S
74,62,16M 24S
74,64,15M 53S
74,65,15M 39S
74,66,15M 39S
75,66,15M 28S
75,68,14M 30S
75,70,14M 4S
77,70,13M 44S
79,70,12M 47S
81,70,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,71,11M 5S
81,72,11M 5S
83,72,10M 51S
83,75,10M 38S
86,75,10M 16S
88,75,9M 29S
88,76,9M 9S
88,77,9M 9S
90,77,8M 50S
90,78,8M 33S
90,80,8M 20S
92,80,8M 8S
92,82,7M 50S
92,84,7M 12S
92,85,7M 12S
93,85,6M 54S
94,85,6M 54S
94,88,6M 32S
94,90,6M 2S
94,92,5M 30S
96,92,3M 50S
96,94,3M 33S
98,94,3M 12S
98,95,2M 17S
98,97,1M 48S
99,97,1M 29S
99,99,1M 16S
101,99,55S
101,102,37S
End of 4th quarter,NA,0S
