LA Lakers,San Antonio,time_rem
3-2,2-2,48M 0S
0,0,47M 34S
0,2,47M 20S
0,4,46M 49S
0,6,46M 26S
2,6,46M 6S
2,8,45M 35S
2,9,45M 35S
4,9,45M 20S
7,9,45M 3S
9,9,44M 16S
11,9,43M 56S
13,9,43M 33S
13,11,43M 21S
13,13,42M 56S
13,15,42M 22S
15,15,42M 7S
15,17,41M 53S
16,17,41M 40S
17,17,41M 40S
20,17,41M 11S
22,17,40M 33S
24,17,40M 10S
24,19,39M 59S
26,19,39M 26S
26,22,39M 7S
29,22,38M 52S
29,25,38M 26S
32,25,37M 36S
35,25,37M 14S
35,26,36M 4S
35,27,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,27,35M 27S
37,29,34M 42S
37,31,33M 59S
39,31,33M 52S
39,33,33M 32S
41,33,32M 56S
42,33,32M 19S
43,33,31M 30S
44,33,31M 30S
44,34,31M 16S
44,36,30M 52S
44,37,30M 29S
46,37,30M 15S
46,39,29M 42S
47,39,29M 6S
48,39,29M 6S
48,41,28M 36S
50,41,28M 18S
52,41,27M 56S
53,41,27M 56S
54,41,27M 56S
54,43,27M 23S
54,45,26M 50S
56,45,25M 48S
58,45,25M 15S
58,47,25M 0S
58,48,25M 0S
58,51,24M 45S
58,53,24M 17S
60,53,24M 1S
62,53,24M 0S
63,53,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,53,23M 47S
65,55,23M 18S
68,55,22M 28S
68,57,21M 49S
71,57,20M 56S
71,60,20M 34S
71,62,20M 11S
73,62,20M 0S
Jump ball: L. James vs. K. Johnson (M. Gasol gains possession),NA,19M 38S
75,62,19M 36S
75,65,18M 45S
78,65,18M 17S
78,66,18M 1S
78,67,18M 1S
80,67,17M 35S
80,69,17M 21S
82,69,16M 40S
82,72,16M 24S
82,73,16M 2S
82,74,16M 2S
85,74,15M 52S
88,74,15M 14S
91,74,14M 40S
92,74,14M 19S
92,77,14M 4S
92,79,12M 54S
92,82,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,82,11M 25S
97,82,10M 59S
97,84,10M 41S
100,84,10M 21S
100,86,10M 4S
102,86,9M 3S
102,87,8M 24S
102,88,8M 24S
104,88,8M 9S
104,90,7M 34S
105,90,7M 11S
106,90,7M 11S
106,93,6M 53S
106,95,5M 52S
108,95,5M 38S
108,97,5M 5S
108,98,4M 29S
108,99,4M 29S
110,99,4M 6S
110,100,3M 55S
110,101,3M 55S
112,101,3M 28S
112,104,3M 11S
114,104,2M 43S
116,104,2M 0S
116,105,1M 48S
119,105,49S
120,105,22S
121,105,22S
121,107,15S
End of 4th quarter,NA,0S
