Washington,Toronto,time_rem
31-36,27-40,48M 0S
0,0,47M 45S
0,3,47M 35S
3,3,47M 6S
5,3,46M 35S
5,6,46M 24S
7,6,46M 5S
9,6,45M 45S
9,9,45M 29S
12,9,45M 16S
12,11,44M 49S
12,13,44M 26S
12,14,44M 10S
12,15,44M 10S
14,15,43M 53S
14,18,43M 38S
16,18,42M 59S
16,20,42M 6S
18,20,41M 53S
20,20,41M 32S
20,23,40M 59S
22,23,40M 45S
22,26,40M 29S
24,26,39M 25S
24,28,39M 0S
24,29,39M 0S
26,29,38M 39S
29,29,37M 30S
29,31,37M 1S
29,33,36M 28S
30,33,36M 6S
31,33,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,35,35M 43S
34,35,35M 33S
34,37,35M 5S
35,37,33M 44S
36,37,33M 44S
37,37,33M 44S
37,40,32M 59S
37,43,32M 36S
39,43,32M 9S
39,45,31M 55S
41,45,31M 26S
41,47,31M 1S
43,47,30M 45S
46,47,30M 22S
46,49,29M 59S
46,51,29M 16S
46,53,28M 49S
46,56,27M 53S
47,56,27M 28S
47,58,25M 45S
47,60,25M 4S
48,60,24M 56S
49,60,24M 56S
51,60,24M 19S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,62,23M 39S
53,62,23M 25S
53,65,23M 7S
56,65,22M 52S
56,67,22M 39S
57,67,22M 1S
58,67,22M 1S
58,69,21M 34S
58,71,21M 11S
60,71,20M 48S
63,71,20M 23S
66,71,19M 33S
66,73,19M 20S
67,73,19M 1S
68,73,19M 1S
70,73,18M 29S
Jump ball: K. Birch vs. B. Beal (G. Trent gains possession),NA,17M 9S
70,74,17M 8S
70,75,17M 8S
71,75,16M 55S
73,75,16M 53S
73,77,16M 30S
73,78,16M 30S
75,78,16M 11S
78,78,15M 47S
78,79,15M 29S
78,80,15M 29S
78,81,14M 37S
78,82,14M 37S
81,82,13M 49S
82,82,13M 49S
82,83,13M 1S
82,84,13M 1S
82,86,12M 33S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,86,10M 43S
84,87,10M 31S
84,89,9M 34S
86,89,9M 16S
86,92,9M 4S
89,92,8M 45S
89,94,7M 47S
90,94,7M 35S
91,94,7M 35S
91,96,6M 46S
94,96,6M 28S
97,96,5M 45S
97,98,5M 24S
98,98,4M 36S
99,98,4M 36S
99,101,4M 23S
100,101,4M 5S
101,101,4M 5S
101,104,3M 50S
101,106,3M 20S
Jump ball: B. Beal vs. S. Johnson (R. Westbrook gains possession),NA,3M 3S
103,106,2M 52S
105,106,2M 20S
105,108,2M 0S
107,108,1M 44S
109,108,1M 22S
109,109,1M 9S
110,109,32S
111,109,32S
111,110,19S
Jump ball: B. Beal vs. S. Johnson (R. Lopez gains possession),NA,16S
112,110,15S
113,110,15S
113,112,10S
114,112,8S
115,112,8S
115,115,2S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: R. Lopez vs. K. Birch (R. Neto gains possession),NA,5M 0S
117,115,4M 51S
118,115,3M 19S
118,117,3M 1S
120,117,2M 42S
120,119,2M 25S
121,119,2M 4S
122,119,2M 4S
122,120,59S
124,120,45S
125,120,45S
126,120,45S
126,122,33S
126,123,15S
126,124,15S
127,124,13S
128,124,13S
128,126,8S
128,127,8S
129,127,7S
130,127,7S
130,128,5S
130,129,5S
131,129,3S
End of 1st overtime,NA,0S
