Portland,Golden State,time_rem
3-3,3-3,48M 0S
2,0,47M 41S
5,0,47M 1S
5,2,46M 46S
7,2,46M 34S
9,2,45M 43S
9,3,45M 25S
9,4,45M 25S
9,6,45M 3S
10,6,44M 48S
12,6,44M 16S
12,8,44M 0S
12,10,43M 37S
12,11,43M 11S
12,12,43M 11S
12,14,42M 37S
12,17,42M 11S
12,19,41M 20S
13,19,41M 12S
14,19,41M 12S
14,21,40M 55S
14,23,40M 49S
15,23,40M 32S
17,23,40M 28S
18,23,40M 28S
18,25,40M 17S
20,25,39M 57S
23,25,39M 39S
23,26,39M 26S
23,28,39M 15S
25,28,38M 59S
27,28,38M 14S
27,29,37M 45S
27,30,37M 45S
27,33,37M 16S
30,33,36M 48S
30,35,36M 40S
30,36,36M 27S
33,36,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,36,35M 30S
35,38,35M 15S
37,38,34M 39S
38,38,34M 39S
38,39,33M 57S
38,40,33M 57S
39,40,33M 20S
40,40,33M 20S
40,42,33M 6S
40,45,32M 34S
42,45,32M 19S
42,47,32M 2S
44,47,31M 49S
44,50,31M 35S
46,50,30M 55S
46,52,30M 35S
Jump ball: J. Nurkić vs. J. Wiseman (D. Lillard gains possession),NA,29M 37S
46,54,29M 11S
46,56,28M 35S
47,56,28M 25S
50,56,28M 0S
50,59,27M 42S
50,61,27M 18S
51,61,26M 28S
52,61,26M 28S
52,63,25M 58S
53,63,25M 18S
54,63,25M 18S
54,64,24M 34S
54,65,24M 34S
54,66,24M 34S
Jump ball: K. Oubre vs. C. McCollum (K. Oubre gains possession),NA,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,68,23M 9S
56,68,22M 51S
56,70,22M 33S
58,70,22M 0S
61,70,21M 28S
61,71,21M 9S
61,72,21M 9S
61,73,21M 9S
63,73,20M 53S
63,75,20M 4S
63,77,18M 51S
65,77,18M 37S
65,79,18M 17S
65,80,18M 17S
67,80,18M 7S
67,82,17M 54S
67,84,17M 25S
70,84,17M 5S
70,87,16M 48S
70,90,16M 18S
72,90,15M 56S
72,92,15M 36S
75,92,15M 15S
78,92,13M 56S
79,92,13M 13S
79,94,12M 57S
81,94,12M 27S
81,97,12M 23S
83,97,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,97,11M 40S
86,99,10M 50S
88,99,10M 27S
88,102,10M 15S
88,104,9M 43S
90,104,9M 32S
90,106,9M 14S
92,106,8M 58S
93,106,7M 57S
94,106,7M 57S
94,108,7M 40S
96,108,7M 7S
96,111,6M 49S
99,111,6M 30S
102,111,6M 14S
102,113,5M 48S
104,113,5M 29S
105,113,5M 2S
106,113,5M 2S
106,114,4M 36S
106,115,4M 36S
106,117,4M 8S
109,117,3M 53S
109,118,3M 35S
109,119,3M 35S
110,119,2M 53S
111,119,2M 53S
111,122,2M 36S
112,122,2M 34S
113,122,2M 34S
113,123,2M 23S
113,124,2M 23S
113,125,2M 14S
113,126,2M 1S
113,127,2M 1S
114,127,1M 51S
114,129,1M 27S
116,129,1M 17S
116,132,1M 6S
116,135,42S
117,135,33S
118,135,33S
119,135,33S
119,137,27S
122,137,8S
End of 4th quarter,NA,0S
