Boston,New Orleans,time_rem
15-15,13-17,48M 0S
0,3,47M 35S
0,5,46M 55S
2,5,46M 43S
2,7,46M 29S
2,9,45M 42S
2,11,45M 18S
5,11,45M 0S
7,11,44M 28S
9,11,43M 41S
9,13,43M 29S
9,14,43M 29S
9,16,43M 2S
10,16,42M 46S
11,16,42M 46S
12,16,42M 46S
12,19,42M 19S
14,19,42M 5S
17,19,41M 48S
19,19,41M 19S
22,19,39M 51S
22,20,39M 40S
22,21,39M 40S
24,21,39M 24S
26,21,39M 7S
26,23,37M 37S
26,25,37M 13S
28,25,36M 58S
28,28,36M 49S
30,28,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,28,35M 47S
34,28,34M 27S
35,28,34M 27S
35,29,34M 13S
37,29,33M 49S
40,29,33M 23S
40,32,33M 9S
42,32,32M 48S
42,34,32M 36S
44,34,32M 20S
46,34,32M 7S
46,37,31M 8S
47,37,30M 33S
48,37,30M 33S
50,37,30M 2S
50,39,29M 45S
50,42,29M 10S
52,42,28M 23S
54,42,27M 19S
56,42,26M 17S
56,43,26M 11S
56,44,26M 11S
57,44,25M 23S
58,44,25M 23S
61,44,24M 53S
62,44,24M 32S
63,44,24M 32S
63,47,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,49,23M 42S
65,49,23M 16S
65,51,22M 59S
66,51,22M 19S
67,51,22M 19S
68,51,22M 19S
69,51,21M 55S
72,51,21M 27S
72,53,21M 17S
75,53,20M 19S
75,55,20M 7S
77,55,19M 43S
78,55,18M 29S
79,55,18M 29S
79,57,18M 9S
80,57,17M 59S
80,59,17M 34S
80,61,17M 8S
82,61,16M 49S
82,63,16M 37S
84,63,16M 17S
84,64,15M 40S
84,65,15M 24S
84,66,15M 24S
84,67,15M 2S
84,68,15M 2S
84,70,13M 21S
86,70,13M 3S
87,70,13M 3S
87,72,12M 49S
87,74,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,76,11M 42S
88,76,11M 42S
89,76,11M 24S
89,78,10M 45S
91,78,10M 24S
91,80,10M 11S
91,82,9M 42S
91,83,9M 42S
92,83,9M 26S
93,83,9M 26S
93,86,9M 15S
93,88,8M 2S
93,89,6M 49S
93,90,6M 49S
96,90,6M 18S
96,92,5M 30S
96,93,5M 30S
98,93,5M 13S
98,95,4M 39S
98,98,4M 11S
98,101,3M 39S
101,101,3M 12S
101,103,2M 25S
101,104,1M 57S
103,104,1M 48S
104,104,1M 48S
104,105,32S
106,105,11S
106,107,6S
106,108,6S
108,108,0S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: R. Williams vs. Z. Williamson (J. Tatum gains possession),NA,5M 0S
110,108,4M 44S
110,110,4M 26S
110,111,3M 6S
Jump ball: R. Williams vs. Z. Williamson (D. Theis gains possession),NA,2M 17S
112,111,1M 12S
112,112,50S
Jump ball: Z. Williamson vs. R. Williams (N. Melli gains possession),NA,45S
112,115,34S
112,116,18S
112,117,18S
113,117,16S
114,117,16S
115,117,16S
115,118,8S
115,119,3S
115,120,3S
End of 1st overtime,NA,0S
