Memphis,Brooklyn,time_rem
1-2,2-2,48M 0S
0,0,47M 37S
2,0,47M 32S
4,0,47M 9S
7,0,46M 44S
7,2,45M 51S
7,5,45M 21S
8,5,45M 5S
9,5,45M 5S
9,7,44M 56S
12,7,44M 41S
15,7,44M 6S
15,8,43M 39S
15,9,43M 39S
16,9,43M 20S
18,9,42M 56S
20,9,42M 12S
20,12,40M 39S
22,12,40M 12S
22,14,40M 5S
22,17,39M 26S
25,17,38M 48S
25,18,38M 18S
27,18,37M 41S
28,18,37M 41S
30,18,37M 10S
30,20,36M 54S
32,20,36M 43S
32,23,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,23,35M 18S
34,25,35M 4S
37,25,34M 46S
37,27,34M 34S
39,27,33M 56S
39,30,32M 46S
41,30,32M 23S
42,30,32M 8S
42,33,31M 35S
44,33,31M 9S
44,36,30M 49S
44,39,30M 25S
46,39,28M 51S
46,41,28M 32S
46,43,28M 17S
46,44,27M 53S
46,45,27M 53S
48,45,27M 38S
49,45,27M 38S
50,45,27M 6S
51,45,27M 6S
51,46,26M 43S
51,47,26M 43S
51,49,25M 52S
51,51,24M 48S
51,53,24M 27S
54,53,24M 8S
54,55,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,57,23M 47S
55,57,23M 27S
56,57,23M 27S
58,57,22M 55S
58,59,22M 43S
58,60,22M 15S
58,61,22M 15S
60,61,21M 59S
60,64,21M 49S
61,64,21M 37S
62,64,21M 37S
64,64,21M 12S
64,65,20M 49S
64,66,20M 49S
64,68,19M 41S
67,68,19M 33S
68,68,19M 5S
69,68,19M 5S
71,68,18M 1S
74,68,17M 19S
74,70,17M 7S
75,70,17M 6S
75,72,16M 46S
75,74,16M 23S
75,76,15M 23S
76,76,15M 10S
78,76,14M 56S
78,78,14M 36S
78,79,14M 36S
80,79,14M 21S
83,79,14M 4S
85,79,13M 39S
85,80,13M 12S
87,80,12M 58S
87,83,12M 52S
87,85,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: D. Bane vs. J. Harris (J. Valančiūnas gains possession),NA,11M 40S
87,87,10M 39S
89,87,10M 20S
89,90,10M 7S
92,90,9M 47S
92,92,9M 30S
94,92,8M 22S
96,92,7M 46S
96,95,7M 23S
98,95,6M 38S
98,97,5M 42S
98,99,4M 52S
100,99,3M 38S
100,101,3M 18S
102,101,2M 28S
102,102,2M 6S
102,103,2M 6S
104,103,1M 52S
104,106,1M 44S
105,106,54S
106,106,54S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: J. Valančiūnas vs. D. Jordan (C. LeVert gains possession),NA,5M 0S
108,106,4M 42S
108,108,1M 43S
110,108,1M 29S
110,111,1M 16S
112,111,38S
113,111,8S
114,111,3S
115,111,1S
116,111,1S
End of 1st overtime,NA,0S
