Utah,Oklahoma City,time_rem
51-20,21-50,48M 0S
3,0,47M 36S
6,0,46M 58S
6,2,46M 44S
7,2,46M 30S
8,2,46M 30S
8,4,46M 9S
10,4,45M 34S
11,4,44M 39S
14,4,44M 14S
14,7,44M 2S
14,9,43M 10S
16,9,42M 59S
18,9,42M 18S
18,12,41M 19S
18,13,40M 23S
20,13,39M 5S
20,16,38M 55S
22,16,38M 25S
25,16,37M 33S
27,16,36M 54S
28,16,36M 54S
28,18,36M 30S
29,18,36M 12S
30,18,36M 12S
30,19,36M 0S
30,20,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,22,35M 47S
31,22,35M 30S
32,22,35M 30S
32,24,35M 20S
35,24,35M 4S
35,26,34M 50S
37,26,33M 44S
40,26,33M 6S
40,28,32M 29S
40,31,32M 5S
40,33,31M 27S
42,33,31M 12S
44,33,30M 39S
44,35,30M 17S
46,35,29M 35S
46,37,29M 17S
48,37,28M 59S
48,39,28M 38S
50,39,28M 23S
53,39,28M 0S
53,41,27M 35S
55,41,27M 23S
56,41,26M 2S
58,41,25M 36S
58,42,25M 26S
58,43,25M 26S
60,43,25M 9S
60,45,24M 49S
61,45,24M 22S
61,47,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,47,23M 38S
63,47,23M 38S
63,49,23M 29S
66,49,23M 14S
66,51,22M 58S
68,51,22M 5S
69,51,21M 40S
69,53,21M 14S
71,53,20M 56S
74,53,19M 38S
76,53,18M 56S
76,55,17M 24S
78,55,17M 8S
78,57,16M 40S
81,57,15M 53S
82,57,15M 25S
83,57,15M 25S
85,57,14M 38S
85,59,14M 24S
87,59,13M 28S
87,61,13M 6S
89,61,12M 52S
89,64,12M 33S
89,66,12M 4S
92,66,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,66,11M 33S
95,66,10M 17S
95,68,10M 2S
97,68,8M 56S
97,69,8M 6S
97,70,8M 6S
Jump ball: M. Oni vs. D. Bazley (T. Forrest gains possession),NA,7M 40S
97,72,6M 43S
97,74,6M 22S
97,75,6M 22S
97,77,5M 19S
97,78,5M 19S
99,78,5M 7S
99,80,4M 46S
99,82,4M 8S
101,82,2M 48S
101,84,2M 33S
104,84,2M 19S
104,87,1M 59S
107,87,1M 51S
107,88,1M 50S
107,89,1M 50S
107,90,1M 28S
107,91,1M 28S
107,92,48S
107,93,48S
109,93,27S
End of 4th quarter,NA,0S
