Washington,New York,time_rem
15-27,22-22,48M 0S
0,0,47M 49S
3,0,47M 20S
3,2,47M 5S
5,2,46M 43S
5,3,46M 7S
8,3,45M 45S
8,6,45M 30S
10,6,45M 16S
12,6,44M 52S
12,8,44M 44S
14,8,44M 31S
14,11,43M 45S
16,11,43M 14S
16,13,43M 4S
16,15,42M 29S
16,17,42M 11S
17,17,41M 56S
18,17,41M 56S
20,17,41M 25S
21,17,41M 25S
21,18,41M 6S
21,20,41M 0S
22,20,40M 44S
22,22,40M 23S
22,25,40M 1S
22,28,39M 19S
23,28,39M 7S
24,28,39M 7S
26,28,38M 43S
26,31,38M 21S
28,31,38M 4S
28,32,37M 49S
28,33,37M 49S
30,33,37M 36S
30,35,37M 23S
31,35,37M 10S
31,37,36M 54S
31,38,36M 21S
31,39,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,40,35M 25S
31,41,35M 25S
33,41,35M 12S
33,43,34M 51S
33,46,34M 12S
35,46,33M 54S
37,46,33M 15S
37,49,31M 53S
39,49,31M 23S
39,51,31M 6S
39,53,29M 48S
41,53,28M 54S
41,56,28M 25S
41,58,27M 21S
41,60,26M 42S
42,60,26M 30S
43,60,26M 30S
43,62,26M 17S
44,62,25M 56S
45,62,25M 56S
45,64,25M 43S
47,64,25M 10S
47,66,24M 55S
48,66,24M 51S
49,66,24M 51S
Jump ball: E. Payton vs. B. Beal (R. Barrett gains possession),NA,24M 30S
49,67,24M 23S
49,69,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,71,23M 45S
51,71,23M 20S
53,71,22M 38S
53,72,22M 2S
53,73,22M 2S
53,76,21M 37S
53,78,21M 21S
53,79,21M 21S
54,79,20M 56S
55,79,20M 56S
55,82,20M 41S
55,85,20M 21S
57,85,20M 2S
57,88,19M 49S
59,88,19M 35S
59,90,18M 56S
60,90,18M 51S
61,90,18M 51S
61,92,18M 34S
63,92,18M 25S
63,94,18M 10S
65,94,17M 50S
66,94,17M 50S
66,96,16M 56S
68,96,16M 47S
68,98,16M 23S
71,98,15M 19S
72,98,14M 50S
73,98,14M 50S
73,100,14M 26S
76,100,13M 40S
76,101,13M 27S
76,102,13M 27S
78,102,12M 45S
78,105,12M 24S
79,105,12M 6S
80,105,12M 6S
80,106,12M 1S
80,107,12M 1S
80,108,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,108,9M 49S
82,109,9M 35S
82,110,9M 35S
85,110,9M 18S
85,112,8M 52S
88,112,8M 43S
90,112,7M 58S
90,114,7M 45S
93,114,7M 26S
94,114,7M 3S
95,114,7M 3S
95,116,6M 40S
97,116,5M 38S
98,116,5M 3S
99,116,5M 3S
99,117,4M 53S
99,118,4M 53S
101,118,4M 42S
101,120,4M 16S
101,123,3M 54S
103,123,2M 39S
104,123,2M 12S
105,123,2M 12S
105,126,1M 47S
108,126,1M 33S
108,129,1M 22S
111,129,48S
111,131,31S
113,131,19S
End of 4th quarter,NA,0S
