Brooklyn,Chicago,time_rem
45-24,29-40,48M 0S
3,0,47M 46S
6,0,47M 24S
8,0,46M 18S
8,3,45M 46S
10,3,45M 29S
10,5,45M 15S
12,5,45M 2S
15,5,44M 33S
15,7,44M 19S
18,7,43M 57S
18,9,43M 37S
20,9,43M 23S
20,11,43M 8S
20,14,42M 34S
21,14,41M 52S
22,14,41M 52S
22,16,41M 20S
24,16,41M 7S
24,18,40M 52S
27,18,40M 2S
27,20,39M 50S
30,20,39M 39S
30,23,37M 20S
32,23,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,23,35M 6S
35,23,34M 38S
36,23,34M 38S
36,25,34M 14S
38,25,33M 55S
38,26,33M 47S
38,27,33M 47S
40,27,33M 22S
40,30,33M 8S
42,30,32M 45S
42,32,32M 32S
43,32,32M 27S
43,34,32M 15S
45,34,31M 55S
47,34,31M 9S
47,36,30M 52S
50,36,30M 45S
51,36,30M 45S
53,36,30M 13S
53,39,30M 6S
53,40,29M 22S
53,41,29M 22S
55,41,29M 9S
55,44,28M 44S
57,44,28M 6S
58,44,26M 52S
60,44,26M 28S
60,46,26M 9S
62,46,25M 49S
62,48,25M 36S
63,48,25M 27S
64,48,25M 27S
64,51,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,51,23M 28S
66,52,23M 12S
68,52,23M 1S
68,55,22M 41S
68,58,22M 6S
70,58,21M 53S
70,60,21M 33S
72,60,21M 4S
72,62,20M 46S
74,62,20M 32S
74,65,19M 14S
77,65,18M 43S
80,65,18M 14S
80,68,17M 59S
82,68,17M 7S
85,68,16M 47S
85,70,16M 31S
85,73,16M 10S
86,73,15M 52S
87,73,15M 52S
87,74,15M 27S
89,74,15M 14S
91,74,13M 57S
93,74,13M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,76,11M 24S
93,77,11M 24S
93,80,10M 47S
94,80,9M 0S
95,80,9M 0S
95,82,8M 45S
97,82,8M 18S
99,82,7M 55S
99,84,6M 53S
102,84,6M 33S
102,85,5M 58S
102,87,5M 27S
102,88,5M 27S
102,91,4M 55S
105,91,4M 41S
105,94,4M 24S
105,97,3M 7S
107,97,2M 54S
107,99,2M 5S
107,100,1M 39S
107,101,1M 39S
109,101,1M 22S
110,101,23S
111,101,23S
111,104,16S
112,104,12S
113,104,12S
113,107,7S
114,107,5S
115,107,5S
End of 4th quarter,NA,0S
