San Antonio,Oklahoma City,time_rem
6-5,5-5,48M 0S
0,3,47M 43S
3,3,47M 21S
3,5,45M 55S
3,8,45M 22S
5,8,44M 41S
7,8,43M 42S
8,8,43M 42S
8,10,43M 26S
8,12,42M 45S
8,14,41M 22S
8,16,40M 28S
11,16,40M 13S
11,18,39M 49S
13,18,39M 36S
13,20,39M 19S
14,20,38M 42S
15,20,38M 42S
15,21,38M 34S
15,22,38M 34S
17,22,38M 23S
17,24,38M 11S
19,24,38M 1S
22,24,37M 34S
24,24,37M 2S
24,26,36M 50S
26,26,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,27,35M 36S
26,28,35M 36S
26,30,35M 5S
28,30,34M 21S
30,30,33M 40S
30,32,33M 17S
31,32,33M 3S
32,32,33M 3S
Jump ball: M. Muscala vs. J. Poeltl (T. Maledon gains possession),NA,32M 49S
33,32,31M 54S
34,32,31M 54S
36,32,31M 37S
36,34,31M 20S
36,36,31M 1S
38,36,30M 39S
40,36,30M 13S
40,39,29M 6S
42,39,28M 51S
44,39,28M 0S
44,40,27M 43S
44,41,27M 43S
47,41,27M 7S
49,41,26M 27S
51,41,25M 32S
51,43,24M 43S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,46,23M 20S
53,46,22M 22S
53,48,22M 1S
53,49,22M 1S
54,49,21M 43S
54,50,21M 35S
54,51,21M 35S
54,52,21M 13S
54,54,20M 39S
56,54,20M 31S
56,55,20M 12S
59,55,19M 53S
62,55,19M 17S
62,56,19M 6S
64,56,18M 54S
64,58,18M 34S
64,61,17M 58S
64,62,17M 25S
65,62,17M 12S
66,62,17M 12S
68,62,16M 17S
71,62,15M 42S
71,64,15M 24S
71,65,14M 47S
71,66,14M 47S
73,66,14M 32S
73,68,14M 1S
76,68,13M 45S
76,71,13M 28S
78,71,13M 11S
80,71,12M 49S
80,73,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,73,11M 32S
82,75,11M 17S
85,75,10M 49S
85,76,10M 33S
85,77,10M 33S
85,78,10M 2S
85,79,10M 2S
85,81,9M 28S
87,81,8M 14S
89,81,7M 47S
90,81,7M 47S
90,83,7M 29S
93,83,7M 12S
93,85,6M 56S
95,85,6M 36S
95,88,6M 22S
96,88,5M 32S
96,90,5M 18S
97,90,5M 3S
98,90,5M 3S
98,92,4M 50S
100,92,4M 4S
100,93,3M 46S
100,94,3M 46S
100,96,3M 21S
102,96,3M 1S
102,98,2M 49S
104,98,2M 35S
104,99,2M 25S
104,100,2M 25S
106,100,1M 30S
107,100,51S
108,100,51S
108,102,40S
109,102,31S
110,102,31S
Jump ball: K. Johnson vs. L. Dort (D. Murray gains possession),NA,24S
111,102,23S
112,102,23S
End of 4th quarter,NA,0S
