Memphis,Utah,time_rem
21-21,33-11,48M 0S
0,0,47M 36S
3,0,46M 53S
3,2,46M 36S
5,2,46M 8S
5,5,45M 41S
7,5,45M 24S
7,6,45M 9S
7,7,45M 9S
9,7,44M 58S
9,9,44M 40S
9,11,44M 15S
9,13,43M 55S
9,15,43M 11S
9,18,42M 46S
11,18,42M 34S
11,20,42M 16S
13,20,41M 56S
15,20,41M 14S
15,22,40M 52S
15,24,40M 16S
17,24,40M 2S
17,26,39M 46S
19,26,39M 32S
19,28,38M 35S
22,28,38M 23S
22,30,38M 3S
24,30,37M 50S
24,33,37M 38S
24,36,36M 59S
24,38,36M 36S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,38,35M 16S
28,38,34M 27S
28,40,32M 50S
30,40,32M 30S
30,41,32M 21S
32,41,32M 5S
32,43,31M 46S
33,43,31M 6S
34,43,31M 6S
34,44,30M 57S
34,45,30M 57S
34,46,30M 57S
34,48,30M 35S
34,51,30M 11S
34,53,29M 53S
37,53,29M 48S
37,55,29M 33S
40,55,29M 16S
40,58,28M 9S
42,58,27M 52S
42,60,27M 32S
42,62,26M 33S
44,62,26M 13S
44,64,25M 59S
45,64,25M 44S
47,64,25M 16S
47,66,24M 47S
50,66,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,68,23M 45S
50,71,23M 16S
52,71,22M 53S
52,73,21M 0S
54,73,20M 47S
56,73,20M 27S
56,75,19M 30S
59,75,19M 13S
59,77,18M 37S
61,77,18M 16S
63,77,17M 46S
65,77,17M 4S
65,78,16M 47S
65,79,16M 47S
67,79,16M 37S
69,79,16M 12S
70,79,15M 53S
71,79,15M 53S
71,81,15M 33S
71,82,15M 33S
73,82,15M 23S
73,84,14M 9S
75,84,13M 56S
75,85,13M 37S
75,88,13M 12S
77,88,12M 35S
78,88,12M 0S
79,88,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,90,11M 28S
81,90,11M 7S
81,92,9M 51S
81,94,9M 26S
81,97,9M 4S
81,98,8M 31S
82,98,8M 17S
85,98,7M 50S
87,98,7M 3S
88,98,6M 38S
89,98,6M 38S
89,99,5M 58S
89,100,5M 58S
91,100,5M 42S
92,100,5M 12S
92,102,4M 55S
92,105,4M 33S
95,105,4M 20S
95,107,3M 56S
98,107,3M 49S
98,108,3M 34S
98,109,3M 34S
101,109,3M 16S
101,112,3M 0S
103,112,2M 48S
106,112,2M 17S
106,115,2M 4S
108,115,1M 47S
109,115,1M 47S
109,117,1M 25S
110,117,1M 12S
111,117,1M 12S
114,117,34S
Jump ball: M. Conley vs. J. Morant (D. Favors gains possession),NA,0S
End of 4th quarter,NA,0S
