Detroit,Denver,time_rem
15-36,32-18,48M 0S
2,0,47M 43S
2,2,47M 2S
4,2,46M 47S
4,4,46M 31S
7,4,46M 16S
7,6,45M 54S
9,6,45M 36S
9,8,45M 22S
11,8,44M 56S
13,8,44M 29S
13,10,44M 12S
13,12,43M 21S
16,12,43M 15S
16,14,42M 51S
18,14,42M 37S
18,15,42M 22S
18,16,42M 22S
20,16,42M 3S
21,16,42M 3S
21,18,41M 43S
21,21,41M 15S
23,21,40M 52S
24,21,40M 52S
24,23,40M 42S
25,23,40M 6S
25,25,39M 53S
28,25,39M 38S
28,27,39M 15S
30,27,38M 53S
30,30,38M 31S
31,30,38M 15S
32,30,38M 15S
32,32,37M 51S
32,34,37M 2S
32,36,36M 36S
32,39,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,41,35M 16S
32,44,34M 49S
35,44,34M 0S
37,44,33M 11S
37,46,32M 49S
37,48,31M 37S
39,48,31M 22S
39,51,31M 8S
41,51,30M 27S
41,53,29M 57S
41,55,29M 30S
43,55,29M 1S
43,57,28M 42S
45,57,28M 27S
47,57,28M 6S
48,57,28M 6S
48,59,27M 30S
51,59,27M 11S
51,60,27M 5S
51,61,27M 5S
51,63,26M 48S
54,63,26M 28S
54,65,26M 9S
56,65,25M 52S
56,67,25M 39S
56,69,25M 16S
56,72,24M 51S
56,74,24M 32S
56,76,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,78,23M 47S
56,80,23M 28S
57,80,23M 10S
60,80,22M 49S
60,82,21M 46S
60,85,21M 22S
63,85,20M 19S
66,85,19M 55S
66,87,19M 38S
66,89,19M 21S
66,91,18M 22S
68,91,18M 1S
68,93,17M 46S
68,94,17M 14S
68,95,17M 14S
70,95,16M 58S
71,95,16M 32S
71,97,16M 19S
71,99,16M 5S
73,99,15M 40S
74,99,15M 40S
74,101,15M 18S
77,101,15M 7S
80,101,14M 35S
80,103,13M 59S
80,105,13M 26S
81,105,13M 10S
81,106,12M 55S
82,106,12M 43S
83,106,12M 43S
83,109,12M 26S
86,109,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,109,11M 42S
88,112,11M 25S
88,115,11M 2S
90,115,10M 51S
92,115,9M 24S
92,118,9M 9S
95,118,8M 47S
97,118,8M 4S
98,118,7M 34S
99,118,7M 34S
99,121,6M 52S
101,121,6M 29S
104,121,5M 49S
104,124,5M 27S
106,124,5M 1S
106,125,4M 41S
106,127,3M 28S
108,127,3M 14S
109,127,3M 14S
111,127,2M 41S
111,129,2M 32S
113,129,2M 6S
115,129,1M 29S
116,129,1M 29S
116,132,1M 9S
119,132,1M 3S
119,134,42S
End of 4th quarter,NA,0S
