Dallas,Denver,time_rem
4-4,3-5,48M 0S
0,0,47M 43S
2,0,46M 34S
2,2,46M 14S
2,4,44M 58S
2,6,44M 42S
2,8,44M 15S
2,11,42M 53S
4,11,42M 33S
7,11,42M 1S
8,11,41M 41S
9,11,41M 41S
9,14,41M 26S
11,14,41M 10S
14,14,39M 41S
14,16,39M 16S
16,16,38M 37S
17,16,38M 37S
18,16,38M 10S
19,16,38M 10S
19,17,37M 46S
19,20,37M 20S
22,20,37M 3S
22,23,36M 51S
22,24,36M 14S
22,25,36M 14S
22,28,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,30,35M 45S
24,30,33M 25S
24,32,32M 40S
24,35,31M 28S
26,35,30M 15S
26,37,29M 56S
27,37,29M 45S
29,37,29M 33S
30,37,28M 56S
31,37,28M 56S
31,38,28M 36S
31,39,28M 36S
31,40,27M 24S
31,41,27M 24S
32,41,27M 17S
33,41,27M 17S
33,44,27M 8S
35,44,26M 53S
37,44,26M 14S
38,44,26M 14S
40,44,25M 46S
40,45,25M 25S
40,46,25M 25S
40,47,25M 25S
40,49,24M 40S
43,49,24M 31S
43,52,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,54,23M 16S
45,54,22M 55S
45,56,22M 40S
46,56,22M 29S
48,56,22M 14S
48,58,21M 10S
51,58,20M 26S
51,60,20M 8S
53,60,19M 18S
53,62,18M 52S
56,62,18M 26S
56,64,18M 7S
56,66,17M 33S
59,66,17M 9S
59,68,16M 50S
59,71,16M 19S
61,71,16M 1S
64,71,15M 24S
64,74,15M 8S
67,74,14M 55S
69,74,14M 6S
70,74,14M 6S
70,76,13M 47S
71,76,13M 36S
72,76,13M 36S
74,76,13M 3S
74,78,12M 54S
75,78,12M 5S
76,78,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,78,11M 10S
79,81,10M 57S
81,81,10M 40S
81,82,10M 19S
83,82,10M 0S
83,83,9M 51S
83,84,9M 51S
83,86,9M 33S
86,86,9M 20S
86,88,8M 40S
88,88,7M 38S
88,91,7M 16S
89,91,7M 5S
90,91,7M 5S
90,92,6M 24S
92,92,6M 15S
92,94,6M 0S
92,96,5M 35S
94,96,5M 19S
94,97,5M 9S
95,97,4M 45S
96,97,4M 45S
98,97,4M 23S
101,97,3M 56S
101,99,3M 41S
101,102,3M 8S
104,102,2M 56S
104,104,2M 30S
106,104,2M 15S
106,106,1M 59S
106,107,58S
109,107,3S
109,109,0S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: W. Cauley,Stein vs. N. Jokić (J. Murray gains possession),5M 0S
109,112,4M 45S
112,112,4M 24S
114,112,3M 49S
114,114,2M 12S
116,114,1M 57S
119,114,1M 25S
120,114,1M 0S
120,117,52S
122,117,33S
123,117,15S
124,117,15S
End of 1st overtime,NA,0S
