Brooklyn,Portland,time_rem
30-14,25-18,48M 0S
0,0,47M 44S
0,1,47M 13S
3,1,46M 59S
3,3,46M 43S
5,3,46M 21S
5,6,46M 7S
6,6,44M 51S
8,6,44M 23S
8,7,44M 8S
8,8,44M 8S
10,8,44M 0S
10,10,43M 44S
10,13,43M 26S
10,14,42M 52S
10,15,42M 52S
13,15,42M 41S
13,18,42M 22S
15,18,42M 6S
15,21,41M 45S
18,21,41M 22S
18,24,40M 30S
21,24,40M 9S
21,25,39M 55S
21,26,39M 55S
24,26,39M 33S
24,28,39M 10S
26,28,38M 52S
26,30,38M 38S
28,30,38M 28S
29,30,38M 2S
30,30,38M 2S
30,33,37M 46S
30,35,37M 11S
32,35,37M 0S
32,36,36M 48S
32,39,36M 39S
35,39,36M 30S
35,40,36M 10S
35,41,36M 10S
36,41,36M 2S
37,41,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,43,35M 20S
39,43,35M 8S
40,43,34M 25S
42,43,33M 43S
44,43,33M 2S
44,46,32M 45S
46,46,31M 50S
46,49,31M 20S
48,49,30M 59S
50,49,30M 35S
51,49,30M 35S
51,52,29M 55S
52,52,29M 31S
54,52,29M 16S
54,55,28M 54S
54,57,28M 8S
54,60,27M 46S
57,60,26M 19S
57,62,26M 5S
58,62,25M 56S
59,62,25M 56S
61,62,25M 36S
61,63,24M 56S
61,64,24M 56S
63,64,24M 44S
63,65,24M 38S
63,66,24M 38S
65,66,24M 15S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
67,66,23M 19S
67,68,23M 0S
69,68,22M 18S
69,71,22M 5S
70,71,21M 48S
70,74,21M 33S
Jump ball: D. Jones vs. B. Brown (C. McCollum gains possession),NA,21M 5S
70,77,20M 32S
72,77,19M 56S
73,77,19M 56S
75,77,19M 25S
75,78,19M 13S
75,79,19M 13S
77,79,18M 37S
77,81,18M 7S
78,81,17M 44S
79,81,17M 44S
79,83,17M 5S
82,83,16M 41S
84,83,16M 15S
84,86,15M 46S
84,88,15M 12S
86,88,14M 57S
87,88,14M 35S
89,88,14M 3S
90,88,13M 28S
90,91,12M 9S
92,91,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,92,11M 42S
92,93,11M 42S
93,93,11M 27S
94,93,11M 27S
96,93,10M 58S
98,93,10M 28S
100,93,10M 3S
100,94,9M 47S
100,95,9M 47S
100,97,9M 5S
102,97,8M 32S
103,97,8M 32S
105,97,8M 10S
105,100,7M 57S
105,103,7M 35S
108,103,7M 18S
110,103,5M 24S
110,105,4M 58S
110,107,3M 53S
112,107,3M 33S
112,109,3M 9S
114,109,2M 48S
114,111,2M 30S
Jump ball: D. Jones vs. N. Claxton (D. Lillard gains possession),NA,14S
114,112,7S
115,112,4S
116,112,4S
End of 4th quarter,NA,0S
