Milwaukee,Phoenix,time_rem
0-2,2-0,48M 0S
0,0,47M 45S
2,0,47M 23S
4,0,46M 51S
4,3,46M 40S
6,3,46M 27S
8,3,46M 2S
8,6,45M 28S
10,6,44M 34S
10,9,43M 51S
12,9,43M 31S
14,9,43M 9S
14,12,42M 37S
16,12,42M 17S
18,12,41M 43S
21,12,41M 5S
21,15,40M 39S
23,15,40M 22S
23,17,40M 12S
23,20,39M 11S
24,20,37M 48S
24,23,37M 27S
24,26,37M 0S
27,26,36M 49S
29,26,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,28,35M 45S
32,28,33M 54S
32,30,33M 21S
33,30,32M 56S
33,32,32M 49S
33,34,32M 6S
35,34,31M 48S
35,37,31M 21S
35,39,30M 59S
37,39,30M 7S
38,39,29M 48S
38,41,29M 4S
41,41,28M 53S
41,43,28M 39S
41,46,27M 41S
41,48,27M 13S
43,48,26M 34S
Jump ball: D. Ayton vs. J. Holiday (D. Booker gains possession),NA,26M 15S
43,51,26M 9S
45,51,25M 49S
45,53,25M 29S
45,55,24M 14S
45,56,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,58,23M 36S
48,58,23M 23S
48,60,23M 5S
48,63,22M 46S
50,63,22M 32S
50,65,22M 9S
51,65,22M 3S
52,65,21M 32S
55,65,21M 9S
56,65,20M 52S
57,65,20M 52S
57,67,20M 19S
59,67,20M 5S
59,70,19M 52S
61,70,19M 35S
63,70,18M 53S
63,71,18M 29S
66,71,18M 14S
66,74,17M 45S
66,76,17M 24S
69,76,16M 53S
69,79,16M 11S
71,79,15M 55S
71,81,15M 30S
72,81,15M 6S
73,81,15M 6S
73,82,14M 35S
73,83,14M 35S
74,83,14M 18S
74,86,14M 5S
76,86,13M 44S
77,86,13M 12S
78,86,13M 12S
78,88,12M 50S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,88,11M 44S
80,90,10M 54S
82,90,10M 38S
84,90,10M 3S
84,93,9M 41S
86,93,9M 23S
88,93,8M 45S
88,95,8M 30S
88,98,7M 49S
88,101,7M 18S
90,101,7M 5S
90,103,6M 47S
92,103,6M 37S
94,103,6M 10S
95,103,6M 10S
97,103,5M 15S
97,106,4M 10S
97,108,3M 35S
99,108,3M 17S
99,110,2M 35S
102,110,1M 46S
102,111,1M 21S
102,112,1M 21S
104,112,46S
104,113,33S
104,114,33S
106,114,30S
106,115,28S
106,116,28S
107,116,24S
108,116,24S
108,117,17S
108,118,17S
End of 4th quarter,NA,0S
