Denver,Houston,time_rem
36-20,14-42,48M 0S
0,0,47M 54S
0,1,46M 51S
0,2,46M 51S
2,2,46M 42S
4,2,46M 16S
4,5,45M 32S
6,5,45M 10S
7,5,44M 38S
8,5,44M 38S
8,7,44M 27S
10,7,43M 50S
13,7,43M 29S
15,7,43M 7S
18,7,42M 49S
18,9,42M 18S
18,11,41M 55S
21,11,41M 32S
21,13,41M 19S
22,13,40M 57S
23,13,40M 57S
23,15,40M 43S
25,15,40M 20S
25,17,39M 14S
27,17,38M 58S
27,20,38M 46S
27,23,38M 11S
29,23,37M 35S
32,23,37M 12S
32,25,36M 54S
34,25,36M 42S
34,28,36M 33S
35,28,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,28,35M 40S
38,28,35M 28S
40,28,33M 9S
40,31,32M 52S
42,31,32M 9S
43,31,32M 9S
43,33,31M 45S
45,33,31M 20S
46,33,31M 9S
47,33,31M 9S
48,33,30M 15S
48,35,29M 27S
50,35,29M 13S
50,37,28M 54S
50,38,28M 31S
50,39,28M 31S
52,39,28M 16S
53,39,27M 48S
54,39,27M 48S
56,39,27M 14S
56,42,26M 48S
58,42,26M 30S
58,44,26M 14S
60,44,25M 54S
60,47,25M 37S
62,47,25M 24S
63,47,25M 24S
65,47,24M 56S
65,49,24M 39S
67,49,24M 30S
69,49,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
69,51,23M 43S
69,54,23M 14S
70,54,23M 4S
71,54,23M 4S
71,57,22M 50S
72,57,22M 26S
73,57,22M 26S
73,59,22M 6S
75,59,21M 47S
76,59,21M 15S
76,61,21M 0S
79,61,20M 31S
79,62,20M 20S
80,62,19M 57S
81,62,19M 57S
83,62,19M 16S
83,64,19M 4S
86,64,18M 48S
86,67,18M 35S
86,69,17M 52S
87,69,17M 37S
88,69,17M 37S
88,72,17M 12S
90,72,16M 59S
90,73,16M 51S
90,74,16M 51S
92,74,16M 40S
95,74,16M 14S
95,76,15M 42S
98,76,15M 19S
98,78,14M 18S
98,79,13M 20S
100,79,13M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,80,11M 13S
100,81,11M 13S
101,81,10M 57S
102,81,10M 57S
102,83,10M 47S
104,83,10M 23S
104,85,9M 58S
106,85,9M 3S
107,85,9M 3S
107,87,8M 44S
109,87,8M 12S
109,89,7M 48S
111,89,7M 24S
Jump ball: P. Millsap vs. D. Jeffries (F. Campazzo gains possession),NA,6M 56S
113,89,6M 48S
116,89,6M 11S
116,91,4M 52S
118,91,4M 26S
120,91,3M 17S
120,92,2M 33S
120,93,2M 33S
120,95,2M 10S
120,97,1M 43S
122,97,1M 23S
124,97,1M 1S
126,97,45S
126,99,34S
127,99,24S
128,99,24S
End of 4th quarter,NA,0S
