Brooklyn,Memphis,time_rem
5-5,3-6,48M 0S
3,0,47M 43S
3,2,47M 28S
4,2,46M 43S
6,2,46M 32S
6,5,46M 13S
8,5,46M 0S
8,6,45M 40S
8,7,45M 40S
10,7,45M 24S
10,8,45M 13S
10,9,45M 13S
12,9,44M 52S
13,9,44M 52S
13,12,44M 24S
13,14,43M 36S
15,14,43M 20S
15,16,42M 39S
15,19,42M 12S
Jump ball: J. Valančiūnas vs. B. Brown (T. Jones gains possession),NA,41M 40S
15,21,41M 32S
16,21,41M 17S
17,21,41M 17S
20,21,41M 3S
20,23,40M 45S
20,25,40M 21S
22,25,40M 4S
22,28,39M 49S
22,30,39M 25S
24,30,37M 27S
24,32,37M 14S
26,32,36M 55S
26,35,36M 42S
26,37,36M 29S
28,37,36M 15S
28,40,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,42,35M 30S
30,42,34M 34S
30,43,34M 21S
30,44,34M 21S
30,46,32M 56S
30,48,32M 28S
30,50,31M 45S
32,50,31M 29S
32,52,31M 15S
34,52,30M 55S
34,53,30M 29S
34,54,30M 29S
34,56,29M 22S
37,56,28M 21S
37,58,27M 46S
38,58,27M 28S
40,58,26M 25S
40,60,25M 43S
40,62,25M 17S
41,62,24M 41S
42,62,24M 41S
43,62,24M 41S
44,62,24M 32S
45,62,24M 32S
46,62,24M 0S
47,62,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,62,23M 29S
49,64,23M 14S
50,64,22M 51S
51,64,22M 51S
52,64,22M 24S
52,67,22M 7S
54,67,21M 51S
54,70,21M 33S
54,72,21M 4S
56,72,20M 51S
58,72,20M 28S
60,72,19M 52S
63,72,19M 29S
63,74,18M 32S
64,74,18M 14S
65,74,18M 14S
65,76,18M 3S
68,76,17M 50S
71,76,17M 3S
74,76,16M 34S
74,78,16M 19S
77,78,15M 59S
79,78,15M 28S
80,78,15M 28S
80,81,14M 48S
83,81,14M 14S
83,84,13M 56S
86,84,13M 36S
86,86,13M 21S
86,88,13M 0S
86,90,12M 33S
86,91,12M 1S
86,92,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,92,11M 39S
88,94,10M 31S
Jump ball: B. Brown vs. D. Brooks (T. Luwawu,Cabarrot gains possession),10M 9S
89,94,9M 47S
91,94,9M 41S
93,94,8M 38S
93,97,8M 13S
93,100,7M 24S
95,100,6M 41S
97,100,6M 17S
98,100,6M 17S
101,100,5M 44S
101,102,4M 51S
104,102,4M 36S
104,104,4M 16S
104,106,3M 30S
104,108,2M 33S
104,111,1M 9S
107,111,57S
107,113,40S
110,113,11S
110,114,6S
110,115,6S
End of 4th quarter,NA,0S
