Sacramento,Philadelphia,time_rem
17-25,29-13,48M 0S
0,0,47M 43S
0,3,47M 31S
0,6,46M 42S
2,6,46M 27S
2,9,45M 48S
2,11,45M 32S
5,11,45M 16S
5,14,44M 51S
5,16,44M 18S
7,16,44M 9S
7,18,43M 47S
10,18,43M 14S
10,20,43M 1S
12,20,42M 23S
12,23,42M 5S
12,25,41M 37S
12,27,41M 29S
12,29,40M 56S
14,29,40M 44S
14,30,40M 33S
14,31,40M 33S
15,31,40M 16S
15,33,39M 49S
17,33,39M 37S
17,35,38M 7S
19,35,37M 36S
19,37,37M 12S
19,40,36M 46S
21,40,36M 25S
21,41,36M 2S
21,42,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,44,35M 6S
21,46,34M 36S
22,46,34M 11S
23,46,34M 11S
23,48,33M 51S
26,48,33M 32S
26,49,32M 49S
26,50,32M 8S
29,50,31M 55S
31,50,31M 33S
33,50,30M 57S
33,52,30M 28S
33,54,29M 49S
36,54,29M 30S
37,54,29M 1S
38,54,29M 1S
38,56,28M 22S
38,57,28M 22S
40,57,28M 9S
40,60,27M 54S
42,60,27M 42S
43,60,27M 42S
43,62,27M 30S
46,62,27M 13S
46,63,27M 2S
46,64,27M 2S
46,66,26M 42S
48,66,26M 33S
48,68,26M 6S
50,68,25M 51S
50,71,25M 34S
51,71,24M 16S
52,71,24M 16S
52,72,24M 1S
52,73,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,75,23M 43S
52,76,23M 22S
52,77,23M 22S
54,77,23M 10S
56,77,22M 54S
56,79,22M 42S
56,81,21M 34S
58,81,21M 2S
58,82,20M 6S
58,83,20M 6S
58,85,19M 38S
58,87,19M 8S
58,89,18M 48S
61,89,18M 38S
61,91,18M 13S
61,94,17M 56S
61,97,17M 26S
63,97,17M 3S
63,99,16M 18S
65,99,16M 5S
65,100,15M 52S
67,100,15M 38S
69,100,15M 4S
69,102,14M 49S
71,102,14M 35S
71,104,14M 19S
73,104,13M 40S
75,104,13M 13S
76,104,13M 13S
78,104,12M 51S
80,104,12M 27S
80,106,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,106,11M 49S
84,106,11M 4S
85,106,11M 4S
85,109,10M 47S
87,109,10M 36S
89,109,9M 47S
89,110,9M 38S
89,111,9M 38S
90,111,9M 28S
91,111,9M 28S
92,111,9M 28S
92,113,9M 4S
95,113,8M 46S
95,115,8M 20S
97,115,7M 38S
97,117,6M 35S
99,117,6M 18S
99,119,5M 39S
102,119,4M 42S
102,121,4M 23S
102,123,3M 56S
103,123,1M 58S
103,124,1M 48S
103,125,1M 48S
103,127,1M 10S
104,127,49S
105,127,49S
105,128,38S
105,129,38S
End of 4th quarter,NA,0S
